search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
165, Kit 2 Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Mús ,54,NA,250,185,12x,5.20,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,2,https://perfil.mercadolivre.com.br/ORIONOFICIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1060316929-kit-2-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-mus-_JM,0,1,1,0,0,#1060316929,Universal,NA,Wolf Tech,NA,In-ear
166, Fone De Ouvido Bluetooth Jbl Jb950 Everest Super Bass Fone ,59,NA,213,17,10x,5.90,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,8,https://perfil.mercadolivre.com.br/GOLDEN+ELETRONICOS.,https://produto.mercadolivre.com.br/MLB-1183273268-adaptador-para-fone-de-ouvido-sem-fio-bluetooth-para-ps4-_JM,6,1,1,0,0,#1183273268,New,NA,BD-PS4,NA,NA
167, Fone Ouvido Headphone B-05 Bluetooth Usb Sd P2 Mp3 Sem Fio ,144,NA,116,958,12x,13.81,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/WOLF+TECH,https://produto.mercadolivre.com.br/MLB-1023276285-10-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-_JM,1,0,0,0,0,#1023276285,Universal,NA,Wolf Tech,NA,NA
168," 10 Fone De Ouvido Bluetooth 4,1 Mini Portátil Chamada Música ",76,NA,356,45,12x,6.38,NA,Envio para todo o país,NA,NA,3.5,11,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1220530730-fone-de-ouvido-bluetooth-i9s-tws-airpods-iphone-android-sfi-_JM,6,1,0,0,4,#1220530730,TWS,NA,NA,NA,NA
169, Fone De Ouvido Bluetooth I9s Tws AirPods iPhone Android S/fi ,178,NA,191,33,12x,17.11,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,90,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://produto.mercadolivre.com.br/MLB-1183395400-fone-jbl-bluetooth-tune-205bt-original-t205-bt-bluetoothnf-_JM,68,13,4,3,2,#1183395400,JBL,TUNE,Tune 205BT,tune205btblk,Ear-Buds
170, Fone Jbl Bluetooth Tune 205bt Original T205 Bt Bluetooth+nf ,35,NA,154,49,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,6,https://perfil.mercadolivre.com.br/PRESIMPORT,https://produto.mercadolivre.com.br/MLB-887756959-fone-de-ouvido-sem-fio-bluetooth-estereo-universal-jwcom-007-_JM,5,0,0,0,1,#887756959,Universal,NA,Fone Bluetooth,FO-007,In-ear
171, Fone De Ouvido Sem Fio Bluetooth Estéreo Universal Jwcom 007 ,60,63,3676,732,12x,5.79,NA,Envio para todo o país,NA,NA,4.5,323,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-764418013-fone-ouvido-sem-fio-favix-b01-bluetooth-fm-sd-card-original-_JM,217,61,26,13,6,#764418013,Favix,Fone Sem fio,b01FX Genuine,Fone Favix b01,Over-Ear
172, Fone Ouvido Sem Fio Favix B01 Bluetooth Fm Sd Card Original ,34,NA,75,26,6x,6.29,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/ZHENYUAN,https://produto.mercadolivre.com.br/MLB-1193132742-fone-ouvido-sem-fio-wireless-bluetooth-v41-music-jwcom-m11-_JM,1,1,0,0,0,#1193132742,Universal,Micro USB V5,M11,NA,NA
173, Fone Bluetooth 4.1 Sport Sem Fio C33 Longa Duração 20 Horas ,36,NA,119,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,6,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=d0ApZny%2FYHR1r%2FZrnBZUe1d0hIY6dnxA%2FwXtxPc%2FkMLASkSGXbqgw5WDx3YH6Pc53mKnmKlbRi%2BPiAo6yc8ljoUIn9a%2FBpIlIZJ%2FZ%2Bcz0x6T16LWMx%2Bv8BCIz035a1x1B6NhJnWf2svaG88e%2FxteHEGAy9ZzrUhw54V5wjMzGTmrkoKv8JUXFGCQCFiRVW3wlDVtmscCxibvlZV7jdLPUAYhqR4gNvRYRNVYvXGJDjx6ApF6XArJYBLTvd%2Fd0RgIVoa7Kge3HmYnUPuzQaPwPM97zxSB93H8KtzezO7IWXLV51m548hiW7e6poQxZpJZxT1wFqfJeOpUyhWDrOKgtYW2iOb7l7K2nI9W1dwOgLMJJ0Q2jr3Jba4bGSg1ngljGsbPt92kwBH59HxMS8DKRU7R8iivSj2ByLUMf2OCnNJOaocCEiJkNNcD72dUsu4TErG%2F6Wx6wGx9jzORWtPONtw1gPxpdHqpHfpcEMLzT6lpuD8FyRCqD9%2B3twPX5hECv2kBw2FvuDu%2Fl%2BwIDk%2FCTuhY9EdaQmzjADTtObRPr%2BZSsZOeJEZcmWNAYleUJhAjdtZS5mtuPmg3Q7e0yJ1EeGeL2y9PgiggTdcuLlw1O9iVG0T563pBzM9aYFWuePSZxAvSfUNnc%2FlnH4722%2FiFCGbSSc%2BUZrkdrfqMeOYxz1PJajgpBCmVDjEoRoD7q0FmOw%2BVNskxoMCq6ck9nfRfu4WWzY01FEIkJ4K1syRAHpfoLKa1l%2Fu817YgjAnBnqunxZSJ%2BBpJ7zoDDBxPKs1jGC3HXabyLcTmBuro0W2sU3q7DCKjKow3eMV%2FamvVcQb1s7cmn6XbVLtpC%2BD6xedWkX9KnpEhTob7MUl96XujkagDKGbsrRxLd1HghQr6kQT%2F3UzuD%2FUFigEZf9JO%2BUNJWRsqdzK45AQkEjXp6qxDPL1yPmv3K%2FK0Y4HYVlmKXJDOjEPAMWof6%2BSz96HG0w19N4VdmXGdlSP4F779PDJjVWHPl3IrgYqbC2cPhhMIab2tedPHkJZuXBe6Dzz3jccH6kx%2FwsASlFVikX7wnmSKi5ncnX3sxxnXVs9mxLvIk86z%2BENj0zGK9nr3N%2Fg4QWFskw0CAy8Wk9ni5GoolG3WhKGA2tNOoC86mvTniPn2KnXGAy0Bnvg3Y2NE82Hy3QRrN8%2BIjyTMoNzax6ZVXLiDb2eZPIBcygXWcuRoIFIPFesrSMd%2BG5ZS5KeG9cZmCjYmtISI10CJaEwfJ6hA6f7oDHX9LHzR7XdekuLxbo5lp2ff2pnGxwTSFrk9eJZfIxATyn58k%2FQBqNhoynWXrtNeb6wzyDZkt66j0Wiej2tOQmFZ8JI0uqyuBwcBWHVJqaM5nZpqgtq%2BXTjugVmPSbY0pj0nCikDtbb7NCwrur%2FDujWpKilmxc0k9ERRpxmRFxG1ve8xfTsuC0byW3Oe5LiFQIa4rk7Vl5f3GC2PIHOi5AuwutAPLq%2FY4r8kR3tXcjhb9oom%2BWfbHAMgX4hQmYRrEVXaeMVqCp7JNMn0wuOT6Ke4umeEFx0XKNCT%2FlmOa4ntQfbUFkkD8zvx%2FLlPIA%3D%3D,5,0,1,0,0,#1196952459,Importado,Headphone,Bluetooth,B-05,Over-Ear
174, Fone Ouvido Sem Fio Wireless Bluetooth V4.1 Music Jwcom M11 ,112,NA,3,94455,12x,10.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MURILO_WEB,https://produto.mercadolivre.com.br/MLB-1162791627-fone-ouvido-bluetooth-sem-fio-super-bass-kaidi-8hrs-autonomi-_JM,NA,NA,NA,NA,NA,#1162791627,Samsung,NA,KD902,NA,Clip-ear
175, Fone Ouvido Bluetooth Sem Fio Super Bass Kaidi 8hrs Autonomi ,29,NA,73,8,5x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GSMCELL2,https://produto.mercadolivre.com.br/MLB-1108258999-fone-de-ouvido-bluetooth-41-estereo-mini-chamada-musica-s6-_JM,NA,NA,NA,NA,NA,#1108258999,Universal,NA,S6,NA,Iphone
176, Fone De Ouvido Bluetooth 4.1 Estéreo Mini Chamada Música S6 ,32,NA,950,10,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,45,https://perfil.mercadolivre.com.br/OLIVEIRA.SHOP.,https://produto.mercadolivre.com.br/MLB-765109711-mini-fone-de-ouvido-lc-100-41-s-fio-bluetooth-micro-menor-_JM,30,7,3,1,4,#765109711,Apple,Fone,LC-100,LC100,Over-ear
177, Mini Fone De Ouvido Lc-100 4.1 S/ Fio Bluetooth Micro Menor ,69,NA,143,100,12x,6.59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,11,https://perfil.mercadolivre.com.br/PRESIMPORT,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kyURBbyAgKSwh7eOQG7bhh5exA3xsq4%2BiVyTNPJvWoav5IVSqGoRjQVBBiXdr1yE8qpazjoZboXvQvjUGbmrD%2FSKwpRApJgZRu6mprYClsU3HpWiw26sbLbSluUmEPZACnmoxaW4yrJE8XMZSz51VD%2BT8v1mC1koSW7J%2BBnaMBtIRnjGiWoidXcMHHpchFUS%2BsEtfCynxl7lNKUKQoHt1DrGikF6hf%2FExkHcPFzGJgZI%2F3bZvHFWZK01%2FPDSdZT7Okkx%2FAWXW2sptnMyRo7UKEPNxno88%2FOhgycOfohsUk2m99ZgxL99%2FqB1hlEH1vyTV%2FoIP2kHSnlHldkCVV%2B5ccp2YYD5pDETxzTMDrsobu72%2BXYOs71FkryMpu0jBJkQYNNaEzFMuGpyVHlBTqD6vNxtYy%2B%2B1l941%2BnpengvEpzvdD%2BECnuJyuRhFnqBNOlMz4iSfEM0QMbISvGmlumGpjim6IvNuyrcn9hRdK9CM7%2BgbL1b6XuwIEBJFqF%2FGfV0nuZ3PKUNx9CjBhzFWqYg2fvVUCDlQT7ljz8sUfSQJtMwJdYVI%2BOeZ3wfIDWYSsFtbMLWl0a9hH5T%2FY7bf52Hxo%2BLRBOHkfl%2Fmnwve6MFwrwBET9AcOQbt65I8Wa0ScKvlZ1C2Ms1epyWTbIt3wD7MFBXRlg7zHplDEHTVXleQvMjWJIagfLcwWJ7gdtgd5aN3AANC9eoBkFZhuKm8mhLl2ZIhzfuAqzgLw4F5L802rjAlAr%2FJmd22lQddS6UxBx%2B6PlYbd2nDOD4uAzhNo6mSgbFmH0DjO4GcWl4zYYbccAV2SaUTdqwuDo5jZTR2v5RRYkQMCUFWB8UVHOupSdNlqe6hp2xlRBnMjLp1pRj1tI9eAkHIRvCWHCh3gPaub0yDq7ZKLNlwODn7wKRTwmbLDOpkDYQtel1TTOlIBJ6OICXP9pFdsi0gg4FeA6iZNoF2qG7AKY51%2FwzgFySHoY2beEjlLPILGJ4TT%2BXLy5Vv%2BKIUwg72o4O3GFbGda2%2FpObo5%2BqdzGgOMMdamW5%2FueF8gro2IWVEfo6%2BksO0MDNYwlyXFv17YbxrS9srD54sjiIvujvZ%2FnboG6dIUh9B4ZY4UlEG4vMshaGJGYzwH68sm1iT8drh1ftVE2O0Kd2yzlpTf1hge2nhU0yMivHwDrvC9UOwON6SQqNyjZGXAhwz1Ksow1hoYmaqPcl%2F1XqG3YBl1dFJ2iobZ1pnYKAYvAJKa1HPyJFiwTElepyyj%2BydfZTGXqaXCV64auYYmu%2FVvWP6ZATW1L0A%2BM0L73oyB3TSwM%2FCWAxY6WVgTURtsplCn7bKFXzqKfp3XeCGnHyJybKl2fTn008j8beXXOfMzxlbcRFhc0tRtrYXtV3OcpMltfhaMLye5o2dEiFFkVOL81MsI%2FoM2Mlgub8IsQ1pTk127qkByxV9fRGL40p7kFpd1%2FRtuq%2BpGwo%2BXcMofCgoW2T36ZLbI4KzcQuFwMDzuHqNmUPPPB%2FqcZ1jv0E1k19lV6a3PSZl2QSTri2icmL%2BoW%2FZSIQ6SzbUJ3YQTIQVRPehV5lP5FHTOBA0Evg,5,4,1,1,0,#1202661520,JWCOM,fone sport,C33,FO - C33,Neckband
178, Fone De Ouvido Bluetooth Headphone Sem Fio Visor Fm Stereo ,46,NA,8922,3,10x,5.34,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,750,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-761661741-fone-de-ouvido-bluetooth-headphone-sem-fio-visor-fm-stereo-_JM,371,182,126,29,42,#761661741,Importado,NA,N65BT,NA,Over-ear
179, Fone De Ouvido Bluetooth Jbl Jb950 (a Pronta Entrega) 5cores ,19,NA,177,8978,4x,5.27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,2.7,3,https://perfil.mercadolivre.com.br/LARTEC+MAGAZINE,https://produto.mercadolivre.com.br/MLB-955804381-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-_JM,0,1,0,2,0,#955804381,Universal,Mini,Wof Tech,3,Mini
180, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música ,35,NA,3656,3,6x,6.57,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,246,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-680486892-fone-de-ouvido-bluetooth-mini-503-mp3-carto-s-fio-wireless-_JM,129,59,30,12,16,#680486892,Importado,BH503,mini BH503,0,In-ear
181, Fone De Ouvido Bluetooth Mini 503 Mp3 Cartão S/ Fio Wireless ,20,NA,63,483,4x,5.12,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3,1,https://perfil.mercadolivre.com.br/IDEAL+COMERCIO,https://produto.mercadolivre.com.br/MLB-1023218339-fone-de-ouvido-bluetooth-bt-41-mini-portatil-chamada-musica-_JM,0,0,1,0,0,#1023218339,Universal,NA,Wolf Tech,NA,In-ear
182, Fone De Ouvido Bluetooth Bt 4.1 Mini Portátil Chamada Música ,48,NA,1889,35,10x,5.57,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,75,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-908793582-fone-ouvido-bluetooth-mp3-sem-fio-carto-micro-sd-fm-hz10-_JM,41,13,9,5,7,#908793582,DHJ,Portatil,Bluetooth,NA,Headset
183, Fone Ouvido Bluetooth Mp3 Sem Fio Cartão Micro Sd Fm Hz10 ,32,NA,64,72,6x,6.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,201,https://perfil.mercadolivre.com.br/FAST+TEK,https://produto.mercadolivre.com.br/MLB-1218867259-mini-fone-ouvido-boas-lc100-bluetooth-41-sfio-micro-meno-_JM,118,35,28,3,17,#1218867259,Universal,LC100,LC-100,NA,Clip-ear
184, Mini Fone Ouvido Boas Lc100 Bluetooth 4.1 S/fio Micro Meno ,154,NA,7,3,12x,12.87,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/KYBELEZA,https://produto.mercadolivre.com.br/MLB-1062655878-mpow-coach-wolverine-fone-de-ouvido-bluetooth-41-lacrado-_JM,NA,NA,NA,NA,NA,#1062655878,Samsung,MPOW COACH,Mpow Coach,COACH WOLVERRINE,Headset
185, Mpow Coach Wolverine Fone De Ouvido Bluetooth 4.1 - Lacrado ,19,NA,48,953,4x,5.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/DHOUTLET,https://produto.mercadolivre.com.br/MLB-1230551701-mini-fone-ouvido-bluetooth-41-sem-fio-micro-menor-preco-_JM,2,0,0,0,0,#1230551701,Universal,Bluetooth,S530,NA,NA
186, Mini Fone Ouvido Bluetooth 4.1 Sem Fio Micro Menor Preco ,549,NA,69,3,12x,45.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,70,https://perfil.mercadolivre.com.br/ELETROHALEN,https://produto.mercadolivre.com.br/MLB-1011317173-fone-headphone-bluetooth-nfc-w830bt-edifier-95-horas-bateria-_JM,62,7,1,0,0,#1011317173,Edifier,NA,W830,NA,Over-Ear
187, Fone Headphone Bluetooth Nfc W830bt Edifier 95 Horas Bateria ,48,NA,4152,978,6x,8.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,405,https://perfil.mercadolivre.com.br/LARTECMAGAZINEVIP,https://produto.mercadolivre.com.br/MLB-878533638-fone-de-ouvido-bluetooth-headphone-chamada-musica-ligaco-_JM,240,89,49,12,15,#878533638,Universal,Luxo,8252,3,Headset
188, Fone De Ouvido Bluetooth Headphone Chamada Música Ligação ,189,NA,70,37,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,252,https://perfil.mercadolivre.com.br/KINGSOMDISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1231438302-fone-de-ouvido-jbl-e25-bt-bluetooth-e25bt-preto-microfone-_JM,187,43,12,3,7,#1231438302,JBL,E-Series,E25BT,JBLE25BT,Ear-Buds
189, Fone De Ouvido Jbl E25 Bt Bluetooth E25bt Preto Microfone ,20,NA,1558,40,4x,5.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,94,https://perfil.mercadolivre.com.br/MFL+ACESSORIOS,https://produto.mercadolivre.com.br/MLB-782857007-kit-6-pares-haste-orelha-p-fone-ouvido-bluetooth-6mm-_JM,67,14,10,1,2,#782857007,Universal,OUTROS,OUTROS,OUTROS,Headset
190, Kit 6 Pares Haste Orelha P/ Fone Ouvido Bluetooth 6mm ,39,NA,189,13,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.9,9,https://perfil.mercadolivre.com.br/X.-TIMER,https://produto.mercadolivre.com.br/MLB-1077034140-fone-head-phone-ouvido-bluetooth-p2-carto-sd-md-_JM,6,0,1,0,2,#1077034140,Importado,NA,B05,b 05,Over-Ear
191, Fone Head Phone Ouvido Bluetooth P2 Cartão Sd Md ,19,21,40,41,3x,6.57,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,1,https://perfil.mercadolivre.com.br/ELETRONICOS+PLAY,https://produto.mercadolivre.com.br/MLB-1185305217-mini-fone-de-ouvido-s530-sem-fio-bluetooth-celular-universal-_JM,0,1,0,0,0,#1185305217,Universal,NA,NA,NA,In-ear
192, Mini Fone De Ouvido S530 Sem Fio Bluetooth Celular Universal ,795,NA,1,19,12x,66.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,76,https://perfil.mercadolivre.com.br/VENDAS.76,https://produto.mercadolivre.com.br/MLB-1261852161-fone-ouvido-samsung-galaxy-buds-2019-sm-r170-pronta-entrega-_JM,67,8,1,0,0,#1261852161,Samsung,Samsung Galaxy Buds,Buds SM-R170,SM-R170,Ear-Buds
193, Fone Ouvido Samsung Galaxy Buds 2019 Sm R170 Pronta Entrega ,17,NA,68,936,3x,6.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJADOCAL%C3%87ADO2018ECIA,https://produto.mercadolivre.com.br/MLB-1240586879-mini-fone-ouvido-bluetooth-41-sem-fio-micro-menor-preco-_JM,1,0,0,0,0,#1240586879,Universal,Bluetooth,S530,NA,NA
194, Mini Fone Ouvido Bluetooth 4.1 Sem Fio Micro Menor Preco ,58,NA,166,17,10x,5.89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1975,https://perfil.mercadolivre.com.br/ATACADO+SJC,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2dJhVxpatUWwy6wFa60au51mDUPPsVmavwzfyh%2BNYRsKcsXrRspL5i4xxjexiEMGyABcSUdrpIoOOUL1hRCaEHT2pwtfy1lIu4KhJ0c3e5qrBd5gN4N6Kp54ljMTDHJIt6JJxX4ZLwXni%2FrRdMeodfBzjJSgy2iaXUM5HsSzhQQWX1F65ng1bS242nWzUoi8IsDVXhq3My2euytujlQQzAMqHCOYvjgRyIf7WH1dZWBlC4blBauPKJKqpA%2FGphciBI%2FVpIfBf13c7a9r8t82PG5wizcCBtrdBu%2FDQ%2FAFTyRcT3n8h2nzyllp0yz8bMXKjWOX%2BHfEwopxk5IZ3zm7pCgTayiNBSutfKyjZk%2BMID3DNnzj03Dc2JZJHnWMXpHr85Fo1vvPc5OLe9RWg%2FE%2FfuZDSBgLfsZ2PkJLu%2FZjU9jbBrDD%2FteJ7s1jNtcziSv%2BgxFZZIkdoK54wWUkXJOOguiVIpdjbSCh3hIfg4N8He8CKBj9E4rTbkEHERI6Pd%2Bs6Gzbi8u4PTiSJflxzXZ%2FgPOStFdsLTZaHGr%2B29Z86hkOdThidZ7BgIdCpS28GjKaPz2YqrHAjzZK7faHo3zJfnnnoNkxMgX4UjjKy4Vn9VMEN3GTLESihA0bObQFir6Z2B0fsHcvYkXFaZLZQB9KM8KWvRTu65vKMVE2O9AK0TFlLOb7PA5uuaszuo1uvX19Bx3cMoQVQ%2FU36LPwBxiDUborowvVwmKTqkP5g3by0nS7x6LjstpLut9RPHmfrWqyDRq2mo3a3I6TAhVas8lfYYLvVQtES%2Fh%2FhIbehAnqThkWQo3XBnWWJMYwupH9ZeBhQU0TGzgHJF7%2Fqwc82YEw%2FUJ2tdIHlfyrvQMgdZaY8FPmwBSpysCoK88MNBhoiZ5OsVe0pUKt4Jh7DfWojmFzr1y%2F28O%2F4ceFGqlxSeKni6pe9dk8c%2F3zWX7XwbCEtz4dTpQOiYl4FQFPOlWwwq6mLWVo1g3%2BOwn8PHMxojxPfYiAZONk29OJuXuHN87LvV8Cjn7FfG4EQ5yOFXIWDqsiXV0pCQLTRBoWvPtTkqdcpPP6d2A6IvCXaZTgJpOc8DP78fj9QglZP0%2BtYD7GG8SDKxExDu0%2BcXP8f8i2YjN2oEBYQWZxq1yvkGETnMBdcFqyH5Nd8AyYPjAj8KH1usfSNF8rszN3dgbzRZ2JhZ%2B5qdi0gFQ3J6sIjdC96rXsQcF%2B1NaWoH5WAfRULSPIyy%2FGPbhJQxZ1nQYxb8M5wft%2Ffw75MTf%2Fj3426Hfl0bKXYTT6Jjy5TO9vjpGyTolOHQ1EZotEZ5jYs1m8Kesnk9PXKReFmOhOSspH7oUcTe%2FTdngv7T%2B1qttqefqaUWiZkOnLCcwiE01u%2Ba5BuKZTtIGJrV1J2V9vgKNkWkTHE1RH3BlkUaIalZF%2B7BMQs0bahGjSnMkO5RCrPRjik3ePB3%2FE2LvqfWHCFIepkUVc1uXMoWmjf%2B68etGcLUZ%2BudFc2ZnqTS6EFsd%2FPJZKBm5T%2B3sbohKxUeAF0FdTBE89PwC%2Bf8zxfBctcFInEbcZ9jd9IJKBP2QFOe4V9L2D%2FasyiQ%3D%3D,1433,323,122,37,60,#1232361271,JBL,Jb950 Everest Super Bass Fone,JB950,NA,Over-Ear
195, Fone De Ouvido Jbl E25bt In Ear Bluetooth Branco Sem Fio ,185,NA,125,675,12x,17.68,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,65,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-961577159-fone-de-ouvido-jbl-e25bt-in-ear-bluetooth-branco-sem-fio-_JM,54,9,2,0,0,#961577159,JBL,SEM FIO,E25BT,JBL E25BT,Over-Ear
196, Fone De Ouvido Sem Fio Com Visor Mp3 Radio Fm Micro Sd ,54,NA,51,26,10x,5.49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LRD-SHOPSOLAR,https://produto.mercadolivre.com.br/MLB-1102014648-fone-de-ouvido-sem-fio-com-visor-mp3-radio-fm-micro-sd-_JM,NA,NA,NA,NA,NA,#1102014648,Universal,Over-Ear,KP-348,NA,Over-ear
197, Fone De Ouvido Headphone Wireless Bluetooth Mp3 Fm Micro Sd ,54,NA,218,54,12x,5.26,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,24,https://perfil.mercadolivre.com.br/LOJAZAHI,https://produto.mercadolivre.com.br/MLB-1127267904-fone-de-ouvido-headphone-wireless-bluetooth-mp3-fm-micro-sd-_JM,20,2,0,0,2,#1127267904,Altomex,NA,A-833,NA,Over-Ear
198, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música Bt ,26,NA,95,29,5x,5.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TESORSHOP?brandId=1259,https://produto.mercadolivre.com.br/MLB-1045703383-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-bt-_JM,NA,NA,NA,NA,NA,#1045703383,Universal,Fone De Ouvido,Wolf Tech,NA,In-ear
199, Fone De Ouvido Haiz Bluetooth E Mp3 Hz-k168 ,47,NA,844,43,10x,5.44,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,33,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1002108665-fone-de-ouvido-haiz-bluetooth-e-mp3-hz-k168-_JM,18,11,2,1,1,#1002108665,HAIZ,Bluetooth haiz,Bluetooth,HZK168,Neckband
200, Mini Fone De Ouvido Estéreo Com Bluetooth V4.1 Esportivo ,88,NA,56,980,12x,7.37,NA,NA,NA,NA,5,2,https://perfil.mercadolivre.com.br/UNIONMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1159198836-mini-fone-de-ouvido-estereo-com-bluetooth-v41-esportivo-_JM,2,0,0,0,0,#1159198836,Universal,NA,Universal,NA,NA
201, Kit Transmissor Audio Bluetooth Som Da Tv + Fone Bluetooth ,149,NA,79,19,12x,14.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,6,https://perfil.mercadolivre.com.br/FABIO+GOSAN,https://produto.mercadolivre.com.br/MLB-1209296316-kit-transmissor-audio-bluetooth-som-da-tv-fone-bluetooth-_JM,4,1,1,0,0,#1209296316,Knup,Fones de Ouvido,Bluetooth fm am sd,KP-348,Headset
202, Fone Headset De Ouvido Bluetooth 4.1 Chamadas Profissionais ,130,NA,145,18,12x,12.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,9,https://perfil.mercadolivre.com.br/FLASHFOUR,https://produto.mercadolivre.com.br/MLB-1051036302-fone-headset-de-ouvido-bluetooth-41-chamadas-profissionais-_JM,5,4,0,0,0,#1051036302,Universal,NA,V8s,NA,Headset
203, Fone De Ouvido Mp3 Bluetooth 4.1 Dacom P10 À Prova Dágua ,239,NA,8,3,12x,22.93,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,37,https://perfil.mercadolivre.com.br/JOSI20092,https://produto.mercadolivre.com.br/MLB-1188568051-fone-de-ouvido-mp3-bluetooth-41-dacom-p10-prova-dagua-_JM,27,4,3,2,1,#1188568051,Samsung,NA,P10,NA,In-ear
