search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Potência de saída (RMS),Tipos de alto-falante,Quantidade de alto-falantes,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Conectores de entrada,Peso,Resposta mínima em frequência,Resposta máxima em frequência,Distorção,Voltagem,Largura,Profundidade,Altura,Cor
20, Caixa Som Bluetooth Usb Micro Sd Radio Fm Aux Mic 40w ,124,NA,"
			
				Novo
			
			
				
					 - 
				
				93
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1042
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,10,https://perfil.mercadolivre.com.br/JEL+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XaXi4YH6pUOf5VoCS5NuUfUoZr8H9eEn%2FMZVaNimj2Xie4xk3I8hGmSX2%2B4rSMZLoVJVIjFOMZ1m8%2B87LDqartY4Fz2QTpjb7kVs9NACS8wD%2BMiRGquu49PtZKPdxNdfVeZLrxOJ%2BrfFHpOUgxRz29y2DNMir0NT2q5r119jlDEAdU72vae7EGmyF36zcnbo4C57sT4YEax1tZhbhFpDXrXrFjW1dpEabNKqalTa9LDsq%2F7M56diHxmEmT9%2FjBjHaA0LJ4DcS4y6yBfE%2F4dGUjaQblAHOt%2Bn8xhthJnha5fWW78eCbm3fvnOBvN6HHDT85bC%2B3bCm9pzPsbusjhGTDbkACazbLTzwHbvl9pzw2qG9PiRh16Q3z1oQcQpzNif3iaASKnjcBRi2mC8JtNCNx1usENCAEoM0Ji6v53h%2Fz6ZM9Pv2bRA9ebJVCrspdzViqBSMQw2YTacoBel1m%2FwPj3bIUtoaMZoajKacOHl3xMkL2kbhdh%2FSIPemlONkmAw7MeQbxkN8vDiOd8JmAULoVdZzx5VPmVuJvUnJzCGEFTHxJoLk0hs9C1390hSLRioCRmT%2FZWYwHG3umdITp%2BgP%2B26MCJ3I0nZ8a9s1SYa5x1ml9HCHyLX0g0nK%2BbbIgD2IysGymnE0QIocK6rLPh2waLw6XIe8cNFfE%2Fbg4ysL5zwrGFrVL2%2F9vh3uTr2Rjgy%2BCzAPfZDEFdJmcBdeq2W0EO1ym3vu7RBT6LUUPw4JxD2qA%2FqLbEWycUbXd9Epp7WuS61dVFtKN6xDm8QukCKbL%2Fss36%2Fwk8nQ%2BaY7CbNRw7H6%2B9xYlsPh8OYm0A2o7%2FtWoqjckYiqfP5pa1Z45N5AoA1CWARQ38iwWl5Ys9dv6X93P%2BCavvPBO%2FNXY6eoEB%2B4RwKf%2F9pXOskKSMbgmhuESUF0UFKbh%2FmyzPN0OXZTzL3dJQAlbkadKkmVq%2BBjBe0ePNM7k96Rn%2BwVfwJjTDOzjBk39O1i80sWZWhRBIKGpxOrjkXE1QGxeo%2BW5wc3H1vqHtxFPDkA28eOwJ0ix1FVgwcKhW3DLrPSngA19MXyFRc7c3occWIEHUvlw72fOOKn%2FUGRNDU6xw41ADo5jBxSTF7qWxxOuiF4RKvAHVOPKpWvwQuOwBYiXNjIcHY%2Br3Auo5il73TuHfECZQUaOuK0Ilyj%2FSWd9vlZsWpRofRoa2pCRCz3C%2BgIJ8mJ4GyDvDyk%2BFl2GSOVmU8%2FnyCg7ZytGCDy1ogsuyRI367AGfZmVt4dl8BVXKRZJ1zGnDjSdmTv%2BjM62mJxhRFBlS%2FORY%2BkB8DG5jX7lru9YaUbpIJbIBBxzZBZ7wL4mCce2a1McViiLZ4NAZ06q6NtMfqF4tIb0KkRAXJByvmLIP%2B55Cs3WjnZj3yLYay7RC9CXMGSo%2FdQR9N7JNthToXu1h%2BHKfBOpJWXKYE7XxFqRGY7bmqXX3gKetJy1Uwi%2B4jP%2F7Du%2FpN2yWwGOfjQePIAfFcGCZBqpOEZ%2FigfS5Dj08WdOZIn4qifnVv1mPyAyzhLzgfPD5Ypepek6wwZsftZ6x%2FVGbf8J6TsD14q51ytN9%2BMoraOUFrNj09X1V%2FgxkXYjz0E5mlg9vJofo9e8P3kBE4p%2FPQejm0mdaaH%2FdD8Jj21fwfkX4Q9rw90i0MLAOaqAPct7UBOi3M5D8%2FOSMInthOxqifLqY%2BUc3XKuFF6TS24j1FE%2BRFovfrbansgYurJ%2Ff%2FEcQ5tXAfwJuRJb%2Bwfx2x0WPfmAJUO1nO%2F43t94fjhIgWo7KSsi%2FAjU3cCerDwYliWNxCLVzGQbBOz8GVByLKtW4py695K8gNme9SvaKWbZOpsTaHUPgLlv2lqOMwODQB21cO5TRRWR8a87Ytt9JkvYmdBnSlroP%2FeCDjLEz6wzGqmn67A9RAdUgsPSeHO%2FR1PQ7dHdSPzTWxCU4EZ5LHzEpr%2Flc7GjkzZ7NMS3PpL%2FydtQUzAOupPtGL8X5wwg%3D%3D,4,3,1,1,1,#1254387793,H'maston,NA,x22s,20 W,NA,2,NA,NA,NA,2.1,NA,824 g,NA,NA,NA,NA,NA,NA,NA,NA
21, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				839
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1424
		
		 sem juros
		
	

	
		",24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1675,https://perfil.mercadolivre.com.br/STECVALE-,https://produto.mercadolivre.com.br/MLB-1161277139-caixa-de-som-jbl-go-2-portatil-3-w-original-bluetooth-_JM#position=21&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,1538,106,19,6,6,#1161277139,JBL,JBL GO 2,GO 2,3 W,Tweeter,NA,Passivo,De piso,Caixa,2.1,NA,184 g,NA,NA,NA,Bivolt,NA,NA,NA,NA
22, Kit 4 Caixa Som Bluetooth Torre Amplificada Mp3 Usb Fm 500w ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				3548
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 610
		
		 sem juros
		
	

	
		",10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,181,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM#position=22&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,146,10,9,4,12,#1175508663,Goldenultra,Portátil,Torre,8 W,Subwoofer,2,"Ativo, Passivo",Portátil,Torre,5.1,"USB, Leitor SD",NA,NA,NA,NA,110V/220V (Bivolt),NA,NA,NA,Pele
23, Caixa De Som Jbl Go 2 Portátil 3 W Original Bluetooth ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				12929
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1296,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM#position=23&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,799,262,122,45,68,#757364044,Infokit,Bluetooth,VC-M874BT,12 W,"Subwoofer, Twitter",3,Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Torre,Bluetooth,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,NA,110/220v ou USB 5v,17 cm,14 cm,36.5 cm,NA
24, Caixa De Som Bluetooth Jbl Clip 2 Original Varias Cores 12x ,199,NA,"
			
				Novo
			
			
				
					 - 
				
				478
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1667
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,172,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097032335-caixa-de-som-portatil-bluetooth-amplificada-microfone-gratis-_JM#position=24&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,121,27,14,6,4,#1097032335,Briwax,NA,FBX-103,25 W,Subwoofer,NA,AMPLIFICADO,"Festas em Geral, Praia, Sítios, Eventos, Conexões com Vilão",Torre,5.1 - Bluetooth,Entrada para Microfone P2 e P10,2.4 kg,NA,NA,NA,NA,NA,NA,NA,NA
25, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				148
				vendidos
			
		",(60 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1417
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,269,https://perfil.mercadolivre.com.br/SM2-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1254798858-caixa-de-som-bluetooth-jbl-clip-2-original-varias-cores-12x-_JM#position=25&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,240,22,4,1,2,#1254798858,JBL,NA,Clip 2,3 W,NA,1,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,143 mm,94 mm,94 mm,NA
26, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				445
				vendidos
			
		",(6513 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 627
		
		 sem juros
		
	

	
		",27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,14,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://produto.mercadolivre.com.br/MLB-1239835891-caixa-som-bluetooth-torre-amplificada-musica-mp3-usb-fm-_JM#position=26&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,10,1,3,0,0,#1239835891,Goldenultra,NA,Torre,10 W,Subwoofer,NA,Subwoofer,"Mesa, Chão, Galpão, Colo",Torre,5.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Kit Caixa Som Bluetooth Caixinha Usb Sd Rádio - Atacado 4 Un ,35,43,"
			
				Novo
			
			
				
					 - 
				
				4915
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 651
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,222,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154024173-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM#position=27&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,169,20,17,4,12,#1154024173,Goldenultra,Caixa de Som,Torre,8 W,Subwoofer,2,Subwoofer,Portátil,Torre,5.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
28, Caixa Speaker Google Home Mini -sem Caixa -veja Video Novo ,125,NA,"
			
				Novo
			
			
				
					 - 
				
				361
				vendidos
			
		",(50 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1199
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,14,https://perfil.mercadolivre.com.br/TG-SANTOS,https://produto.mercadolivre.com.br/MLB-1078576031-kit-caixa-som-bluetooth-caixinha-usb-sd-radio-atacado-4-un-_JM#position=28&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,11,2,0,0,1,#1078576031,Grasep,NA,D-BH1064,6 W,Subwoofer,NA,Mini tweeter,Portátil,Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29," Caixa Som Bluetooth Torre Amplificada - Música, Mp3, Usb Fm ",130,NA,"
			
				Novo
			
			
				
					 - 
				
				231
				vendidos
			
		",(1769 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1242
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,4,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://produto.mercadolivre.com.br/MLB-1275165885-kit-4-caixa-som-bluetooth-torre-amplificada-mp3-usb-fm-500w-_JM#position=29&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,3,1,0,0,0,#1275165885,Goldenultra,NA,Torre,10 W,Subwoofer,NA,Ativo/Passivo,Portátil,Caixa,5.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
30, Caixa De Som Portátil Amplificada Usb Mp3 Radio Fm 300w E2 ,33,34,"
			
				Novo
			
			
				
					 - 
				
				1352
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 615
		
		 sem juros
		
	

	
		",15,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,70,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM#position=30&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,56,7,3,2,2,#1174117073,Goldenultra,BLUETOOTH,GT-513bt,10 W,Subwoofer,2,Subwoofer,Portátil,Redondos,2.1,USB,NA,150 Hz,15000 Hz,NA,NA,NA,NA,NA,NA
31, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				782
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 635
		
		 sem juros
		
	

	
		",35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,24,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1191652215-caixa-caixinha-som-portatil-usb-bluetooth-p2-fm-mp3-_JM#position=31&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,20,3,0,1,0,#1191652215,Altomex,NA,A-6036,6 W,Subwoofer,1,"Ativo, Passivo",Portatil,Caixa,5.1,"USB, Leitor SD, Auxiliar",318 g,NA,NA,NA, Bivolt,NA,NA,NA,Pele
32, Caixa Caixinha Som Portátil Usb Bluetooth P2 Fm Mp3 ,899,NA,"
			
				Novo
			
			
				
					 - 
				
				79
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,27,https://perfil.mercadolivre.com.br/ELETROHALEN,https://produto.mercadolivre.com.br/MLB-1000777273-caixa-amplificada-ativa-edifier-r1700bt-bluetooth-66w-_JM#position=32&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,26,1,0,0,0,#1000777273,Edifier,NA,R1700BT,66 W,Woofer,NA,Tweeter,"Estudios, Som Ambiente, Sala, Quarto",Caixa,2.0,RCA,3.3 kg,NA,NA,0.5 %,NA,NA,NA,NA,NA
33, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,26,27,"
			
				Novo
			
			
				
					 - 
				
				3227
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 582
		
		 sem juros
		
	

	
		",82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,114,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM#position=33&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,95,12,5,1,1,#1169578372,Altomex,Bluetooth,A-6036,6 W,Subwoofer,1,Subwoofer,Portátil,Redondos,2.1,USB,318 g,150 Hz,1500 Hz,3 %,NA,NA,NA,NA,NA
34, Caixa Amplificada Ativa Edifier - R1700bt - Bluetooth 66w ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				280
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 673
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,6,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://produto.mercadolivre.com.br/MLB-1081373892-caixa-som-portatil-bluetooth-5w-celular-sd-usb-radio-fm-ws-_JM#position=34&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,3,1,1,0,1,#1081373892,Importado,Caixa De Som Portátil,WS-887,5 W,Subwoofer,NA,Subwoofer,Portatil,Caixa,7.1,NA,249 g,NA,NA,0.5 %,110V/220V (Bivolt),NA,NA,NA,NA
35, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				5803
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 675
		
		 sem juros
		
	

	
		",75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,213,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-765932866-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-usb-hi-_JM#position=35&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,135,44,18,6,10,#765932866,Mini Speaker,Ws-887,Ws-887,3 W,Tweeter,NA,Ativo/Passivo,"Mesa, Casa, Na Rua, Praia, Etc...",Caixa,2.1,Auxiliar,NA,NA,NA,NA,0,NA,NA,NA,NA
36, Caixa De Som Speaker Jbl Go 2 - Promoção - Original ,76,NA,"
			
				Novo
			
			
				
					 - 
				
				214
				vendidos
			
		",(73 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 733
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1098269036-caixa-de-som-bluetooth-amplificada-lanterna-super-bass-600w-_JM#position=36&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,6,1,0,0,0,#1098269036,Grasep,Bluetooth,Bluetooth Potente,15 W,"Subwoofer, Twitter",2,Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Caixa,5.1,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,0.2 %,NA,NA,NA,NA,NA
37, Caixa De Som Bluetooth Amplificada Lanterna Super Bass 600w ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				238
				vendidos
			
		",(80 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,6,https://perfil.mercadolivre.com.br/MAPA4361683,https://produto.mercadolivre.com.br/MLB-1226564499-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM#position=37&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,3,1,0,0,2,#1226564499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38, Mini Caixa Caixinha Som Portátil Bluetooth Mp3 Fm Sd Usb Hi ,184,NA,"
			
				Novo
			
			
				
					 - 
				
				287
				vendidos
			
		",(452 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1767
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,18,https://perfil.mercadolivre.com.br/RUBIANECMOTTA,https://produto.mercadolivre.com.br/MLB-1212663833-caixa-speaker-google-home-mini-sem-caixa-veja-video-novo-_JM#position=38&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,16,2,0,0,0,#1212663833,Google,NA,Home Mini,3 W,REDONDO,NA,Ativo,MULTIPLOS,Caixa,mono,NA,350 g,NA,NA,NA,NA,"3.86 """,NA,"3.86 """,NA
39, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,72,NA,"
			
				Novo
			
			
				
					 - 
				
				149
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 693
		
		 sem juros
		
	

	
		",93,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,10,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-1043853042-bazooquinha-pulse-3-bluetooth-caixa-de-som-usb-sd-mp3-fm-_JM#position=39&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,6,2,2,0,0,#1043853042,A Importes,NA,Pulse 3,20 W,Woofer,NA,Subwoofer,portátil,Caixa,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				841
				vendidos
			
		",(71 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,73,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM#position=40&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,65,2,3,0,3,#919482965,JBL,NA,Caixa Amplificada Bluetooh,200 W,NA,01,Ativo,NA,Caixa,NA,USB,7 kg,NA,NA,NA,110/220V,NA,NA,NA,NA
41, Caixa Som Portátil Bluetooth 5w Celular Sd Usb Radio Fm Ws ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				291
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 621
		
		 sem juros
		
	

	
		",21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.9,9,https://perfil.mercadolivre.com.br/DIGITAL+JE,https://produto.mercadolivre.com.br/MLB-1049750580-mini-caixinha-som-bluetooth-portatil-prova-agua-ventosa-_JM#position=41&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,6,0,1,0,2,#1049750580,Importado,NA,BTS-06,3 W,Tweeter,NA,Woofer,"Vidro, Azulejo",Redondo,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,47,49,"
			
				Novo
			
			
				
					 - 
				
				547
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 879
		
		 sem juros
		
	

	
		",79,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,241,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1197555845-caixa-som-bluetooth-canho-amplificada-mp3-usb-sd-fm-500w-_JM#position=42&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,198,19,10,3,9,#1197555845,Grasep,NA,D-P8,10 W,Tweeter,NA,Tweeter,Portátil,Redondos,2.1,"USB, Microfone",700 g,NA,NA,0.5 %,NA,NA,NA,NA,NA
43, Caixa Som Amplificada Bluetooth Portátil Mp3 Rádio Fm Usb P2 ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				825
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,39,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1190350399-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM#position=43&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,27,4,4,2,2,#1190350399,Goldenultra,Caixa de Som,Torre,8 W,Tweeter,2,Ativo/Passivo,Portátil,Caixa,5.1,"USB, Leitor SD",NA,NA,NA,NA,Bivolt,NA,NA,NA,NA
44," Caixa Multiuso Amplificada 50 Rms 8 Bluetooth,usb+sd+fm+cont ",52,74,"
			
				Novo
			
			
				
					 - 
				
				2651
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 596
		
		 sem juros
		
	

	
		",96,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,241,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154336658-caixa-som-amplificada-bluetooth-portatil-mp3-radio-fm-usb-p2-_JM#position=44&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,198,19,10,3,9,#1154336658,Grasep,Caixa de Som,D-P8,10 W,Tweeter,1,Tweeter,Portátil,Caixa,Não,USB,500 g,NA,NA,0.5 %,NA,NA,NA,NA,NA
45, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				828
				vendidos
			
		",(86 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1458
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,34,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM#position=45&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,27,5,1,0,1,#1137932763,Google Home Mini,NA,Google Home Mini,3 W,"Caixa de som, Speaker, Assistente Pessoal",1,"Caixa de som, Speaker","Mesa, escritorio, sala, quarto",Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				525
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,36,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1208611850-kit-10-mini-caixinha-som-bluetooth-portatil-usb-mp3-p2-sd-_JM#position=46&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,33,1,1,0,1,#1208611850,Goldenultra,NA,Ws-887,3 W,NA,NA, ,NA,NA,NA, ,NA,NA,NA,NA, ,NA,NA,NA,Pele
