search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Modelo alfanumérico
2069, Audífonos Xiaomi Bluetooth 4.1 Microfono Handsfree Original ,64,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LOADING+PC,https://articulo.mercadolibre.com.pe/MPE-435697720-audifonos-xiaomi-bluetooth-41-microfono-handsfree-original-_JM#position=6&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#435697720,Xiaomi,NA,NA,NA,NA
2070, Audífonos Bluetooth Samsung Level U Original Caja Wireless ,179,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELECTRO-FIX.,https://articulo.mercadolibre.com.pe/MPE-431969938-audifonos-bluetooth-samsung-level-u-original-caja-wireless-_JM#position=7&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#431969938,NA,NA,NA,NA,NA
2071, Audifonos Bluetooth I7s Tws Cargador Portatil Apple Androi ,32,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-437606639-audifonos-bluetooth-i7s-tws-cargador-portatil-apple-androi-_JM#position=8&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437606639,Apple,TWS,i7s,In-ear,NA
2072," Taotronics Auriculares Bluetooth Plegables, Duraderos, Co ",226,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437035327-taotronics-auriculares-bluetooth-plegables-duraderos-co-_JM#position=9&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437035327,NA,NA,NA,NA,NA
2073, Audifono Bluetooth 503 ,43,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EL+RINCONDELCOCO,https://articulo.mercadolibre.com.pe/MPE-430040708-audifono-bluetooth-503-_JM#position=10&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#430040708,NA,NA,NA,NA,NA
2074, Audifonos Bluetooth Hbs-730 Compatible Con Cualquier Modelo ,43,NA,10,39,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EXPRESO.BBC,https://articulo.mercadolibre.com.pe/MPE-422635505-audifonos-bluetooth-hbs-730-compatible-con-cualquier-modelo-_JM#position=11&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#422635505,LG,NA,NA,NA,NA
2075," Riwbox Wb5 - Auriculares Inalámbricos Bluetooth 4.2, Esté ",272,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437037008-riwbox-wb5-auriculares-inalambricos-bluetooth-42-este-_JM#position=12&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437037008,NA,NA,NA,NA,NA
2076, 2019! Nuevos Audifonos Handsfree Samsung U Bluetooth Inalam ,194,NA,0,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-432560402-2019-nuevos-audifonos-handsfree-samsung-u-bluetooth-inalam-_JM#position=13&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#432560402,Samsung,NA,NA,NA,NA
2077, Skullcandy Audifonos Crusher Wireless Bass Sound Bluetooth ,389,NA,0,299,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=NaLiShwVXxmdW9bQJVfhuhZGK9OBmCnHzJ17xrNLI%2FE4bnFPcNYyXfw2D76Mt4fkLcjGg1wHhmQdRsKiPr%2FS7DzYOFwnnHtAChc3zIoWb0e0V4Ho5Di1CDHyrWfwh%2F6Ci9cpfKvbjZScQ5dAHpYx3ujcXkS385qtuTPKmVLukmaspA4f1Keh85EmChxupkA%2BeyOvzxmHytC9Pe6uBpYWYlPb9oj%2BGvJgI6WgOkI2mEUpjDwxsbFADOx1wSm4sDF9hvk3eKgA7VLipWqkNy2w%2FHVmwsk9yrkRL7xemOlUucXKL2qpWMW8%2FpVQXU4XbYFzV8luv%2FrhQznvflatprXF%2FdxqqDBftiT5Ky0N5pR0jglnyXRDXUI6R7vYFjUmnzY5UsY48CaDKd6En7DUFA5fwEbFn0VDVZQrP6edpFAps7BaDI8ntKp%2B0OAso7r4ESfD4dsnPFdHarjFNXJl06H8LS1xkH8J5mDEIpIjEJZOWa3kYPq6gqrV6rSf50KI9Cid0jYEub4zqaUhUUI4uXijhZTqv65KqMTGjlh2t5tgGG%2FKKnjgh2PW6g6lLqkHTZRvgsalyC%2Bx42JqBcCRu%2BxEmrRXpQSCLz12KJCVi9L43Q45gSSsBKkag447YXT2z5MkrZb8T685erEfFIpF2X4z98mLt2Shv4Ro5GO53%2FfLL23pvSF9t%2Fi7bT9HA6Xuow5qfvpyEWQ9sWUExAXHRNLoSKVo%2FvM7PJj9phhEuA5LZwZIn2HuPmBbZIDhpuN%2Bz5EVjiIqP%2FnFaoGZSw4lyrrN1ubNBp9Ke1NbZXelctuxkxAIrt88lS4v12wiIwG2crfT%2B1Jd9oGlzY2mNhUTUc5jGIqwbiHUuOwRlt857l6KPFpAQ1e6rIYtZAAaZli4be59RS27TBCAx3HOgzBxTK%2Fvf12ElOcjSBQIJ3621ogcgmm2HCi2PfaICVCzWzElwMFfbgTX6Fo5eQcsa8BvJsm%2FPl6ivulMJ5FFBFx%2Bfiy%2FfTauPp6RrIQ1nIADF0kQ8Cc6nkjXwDsle4af0afgl9ZiZf9%2FZmUD7GcyHNP312Lg3ZFvgpY2eu%2Fy%2F7LGSgnWprcNnM1Es%2BZGMd6NvU2aMlPbMouOQdXhZRJufMOGA7yfwHF9TSnRAzbXYUC%2BXxLEZmpngS%2BijM8sFr5oS0qOrrTvw8q1KXPoZPu1Ct1gFPWSyjE%2F1yhaw9uaTdAigUFKt%2Bf%2F6mqvYuermvjoXjHWucK3euZQbE8MUX0mUJCixp8afIYQ2yN1enA9gRzm8bLRQXBneMWzD1rr6c22uiJ2rJWX6XyJPhf0anJ8lknyKjLIZp5yyOsH1K9zj7cv8oTAdcKEdieOqj3JlANi0UUM%2BsTaAdYSeiea%2F1qmBTCI4FsbDR66hlbsnHKu7njGzKCnsu8GsShmCKhNXsF%2FhGbtHmUqAJwZDh5lMU0YDOShiJ23Df3gr4I4FJG6sHmZ2m5dlX4IXguosZ7dJ95qrU7q0vSxZOiVTyOzMssNaVbl218dAX7UCpJLU0sd4En7txkNkuOQdcgIVScWOgsgtzSJyp3v4IlO7%2BR4PVb1MsUGHKJC0N151mkxyy620Sy3j7Rr6pEAL8n66QdUwT2jVq4TZE24erfKu%2BXIhfBF%2B30Zb0zxFefphCBcdzGSnUOjWriAZZXdJuIQEu2XSJE4VYLgskV4kBqCB5Ag2lgZv1%2BRGMbgqHJOihJiirUy6gKwLxkZANGT9juVLHEVb1VI6gHQm44U1JAaaHes92I1IFk%3D,NA,NA,NA,NA,NA,#437739955,NA,NA,NA,NA,NA
2078," Auriculares Inalámbricos Para Tv Watch, Bluetooth 4.1 Aur ",272,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437037035-auriculares-inalambricos-para-tv-watch-bluetooth-41-aur-_JM#position=15&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437037035,NA,NA,NA,NA,NA
2079, Audifonos Bluetooth I9s Tws En Oferta ,70,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUISRAMOSBERROSPI,https://articulo.mercadolibre.com.pe/MPE-435783420-audifonos-bluetooth-i9s-tws-en-oferta-_JM#position=16&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#435783420,NA,NA,NA,NA,NA
2080, Audífonos Bluetooth E1c Tipo AirPods Sin Cables Stereo Blanc ,49,NA,1,899,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-433206895-audifonos-bluetooth-e1c-tipo-airpods-sin-cables-stereo-blanc-_JM#position=17&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#433206895,Beneve,NA,NA,NA,NA
2081, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,499,NA,0,399,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,6,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=XwpaGZzJAUJ50Mh%2FEti0Zb8NYGAwWz9QmMlIfI3DVk%2BUuvteWvjqPO%2FGQHyFYDinVhqQ1a3n2ZWt1tZ2%2BU2datmbSQcQzhvPCHuDhOams80q4YKzU%2FvjEiYwOa5ItgyOjtd4nieitEP43Q90wZxHv6ay76iZjzYdYEJOYfDL1TcNKE5JTxIC%2FNpFo1HmPxB4AluXq4bFXRsGy9mSTI40EoRfp%2FDib3EQX5b8%2F8v3qe5dj9O4EPfmB9W7ctcoB7ktGK7duTlH6R2vJqKiwpUXgUPs2pgKe%2BHByCgHqYh0BQGaWNpZYKOhySYVutAqkTYnl3pAiqS7TaWhll6YsD7upsUYePIJLhnqKm%2Bph1gD8u43Cqq9Ttl%2B9jJBfP%2Fbkq8ZMvfjGhu6GPWNVurbgT3zoAMhj0B46I6W6DQQW1%2B%2FEnPMQ%2BBe7qw0zFnhD%2FVMQfM3kFlRGT%2BAGX9dAkWVfMuKdSrabjsFnhnP9Sb3dEyHw4xF6ZEz72HtVFSq17SNjp2FhPOxQP88ZgCdUK3fbgWUjWn1x2TFt44rsFfnkorVI4Y2fLOiQdp4F3%2Fb4fRnwgyPCCA9tg%2FDw3ZdfAcNLLZ3nmH5E%2BReUpBRsqukkewlxWG0ZQL%2FrXopylj8Hj5s2GDomNpNA%2Byn%2F8XbIobNnpzH4Cbe%2BSaCa92tkEANWgfU7x0mHWs5Bj985%2FTea%2FTyXLx%2FXCVTl831YoQL0KWrTEV631oCNpdSjZ%2FZ2Y%2F25bBfa4ZD3gyF14ArgsG5CoQpxNvhwCYSnxslrCNtB4vGk2r8jGQgFageUFIbS2%2FL%2Bov6XeYNap%2FnJlvB%2Bq4tWPJ%2BOr2l08Oxp8N%2F0Wtl9dcQwCuHKm%2F%2Fi7D%2Bz2GsUCtlTL%2B6vMjihBSxJt0JB7TCJ672WbsnFlsS40fMamcOnGTnLcCQO7y4AiMrxp7O1DBRe61OH5eLbm3l0vFjy7WK4O0X5CexQypo1GQiPe1HL9k5lq8ek%2FyjKHDxivfbjFX8RVSAh7ssB31ZVrevmrlBGim5zBcGp%2FZO9dCGyNZPxbxFxw%2FdX1lrM%2FoUVJ6VnWX9zI1lOD0KZqxBw92%2F2lp%2F4EnzASo%2B%2FYxZ93YmyDCW2V1FE6HYftpDc6f1yDXEnrrLqO3hh34Rg%2FywIMKBt%2FsjlpnpYNH80Ucj8W5wyy2%2FnlyMLlTngB2bap07vINNOHjRXPmVu3LBzjj8oAWjxlxWtJIDXZq1TK4xN8iFZyMnjOxxDA7510GjHQmfq7ZEhwMJSJGHrCB7WR56XWRFkPaTNEVQ9Z6K7125zNVdUSxEgSVpaFgH20rmNqXPL8NbIVpTse1%2BpKG%2BuhG8utgiKTL5EpCDf1DvoKXRC7Vcj3smkHFA1ttUDQijC1sIYwiWUi%2BK85Z1AvKInYb0uDJGyfy9VO%2Fqb3ayughoHclPebQwNBrxfTHCQMEnqIx4f1g9VLk8oBn4LXZSm0Ys9hDhYwEkKnSYeznHK%2FnMTaM9Rfbi%2BD1q1WFSGhoHb1Vawwl9G7r4aPlm%2F2DwqTHKabAwfkjhh2Sw8yuTfFcB4RrLm%2BWJFadX38jA18A4du2V7hBCAQOS%2FQOicTs26gQY0DwoJ2kewLrT8iVWDE5V9su9k%2FTNm%2BIl8259RwfjJD%2BE0%2FxHgufSCmiRc4meO%2FiP14WjvFBfNBl%2B%2Fr8DJah6EeYnN5nbnhiEZwhSkUaBF009aD54Bs8ug80jvrqfSwXnnfH4909r0AnDLUBwR30PUlAmQT1L3QjNINl%2Bn%2Fku747qluVx,6,0,0,0,0,#437919911,Samsung,Galaxy,Buds,In-ear,SM-R170
2082, Auriculares Inalámbricos Bluetooth Para Entrenamiento A ,226,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437038815-auriculares-inalambricos-bluetooth-para-entrenamiento-a-_JM#position=19&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437038815,NA,NA,NA,NA,NA
2083, Topinno True Mini Auriculares Inalambricos Bluetooth V50 Son ,288,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436366010-topinno-true-mini-auriculares-inalambricos-bluetooth-v50-son-_JM#position=20&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#436366010,TOPINNO,NA,NA,NA,NA
2084, Audifonos Bluetooth Sony Xb950b1 Extra Bass Negro Sellado ,519,NA,1,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/XBITIMPORT,https://articulo.mercadolibre.com.pe/MPE-428507505-audifonos-bluetooth-sony-xb950b1-extra-bass-negro-sellado-_JM#position=21&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#428507505,Sony,NA,NA,NA,NA
2085, Powerlocus - Auriculares Inalámbricos Bluetooth Para Ipho ,226,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437039952-powerlocus-auriculares-inalambricos-bluetooth-para-ipho-_JM#position=22&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437039952,NA,NA,NA,NA,NA
2086, Audífonos Bluetooth Motorola Pulse Scape+ Camuflado ,165,NA,5,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/MYJ+C%C3%81NEPANEGOCIOS,https://articulo.mercadolibre.com.pe/MPE-429792391-audifonos-bluetooth-motorola-pulse-scape-camuflado-_JM#position=23&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,0,1,0,0,0,#429792391,Motorola,Moto,Pulse,Over-ear,S505
2087, Bone Conduction Auriculares Bluetooth 5.0 Auriculares Dep ,303,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437040376-bone-conduction-auriculares-bluetooth-50-auriculares-dep-_JM#position=24&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437040376,NA,NA,NA,NA,NA
2088, Audifonos Bluetooth Qcy 8 2018 ,79,NA,0,24,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ARNOLDROSALESPOMIANO,https://articulo.mercadolibre.com.pe/MPE-432758508-audifonos-bluetooth-qcy-8-2018-_JM#position=25&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#432758508,QCY,NA,NA,NA,NA
2089, Audífonos Bluetooth Sony Xb950b1 / Extra Bass Nuevo Garantía ,599,NA,0,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RAGIMPORT,https://articulo.mercadolibre.com.pe/MPE-432640164-audifonos-bluetooth-sony-xb950b1-extra-bass-nuevo-garantia-_JM#position=26&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#432640164,Sony,NA,NA,NA,NA
2090, Avantree - Auriculares Bluetooth Con Micrófono Para Tv O ,324,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437041149-avantree-auriculares-bluetooth-con-microfono-para-tv-o-_JM#position=27&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437041149,NA,NA,NA,NA,NA
2091, Audifonos Bluetooth Handsfree Deportivos Ucomx ,85,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROCIOROCIO67,https://articulo.mercadolibre.com.pe/MPE-432952525-audifonos-bluetooth-handsfree-deportivos-ucomx-_JM#position=28&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#432952525,UCOMX,NA,C1-00,NA,NA
2092, Audifono Bluetooth Bluedio T6s Active ,219,NA,2,9,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FILIUM360,https://articulo.mercadolibre.com.pe/MPE-434751135-audifono-bluetooth-bluedio-t6s-active-_JM#position=29&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#434751135,Bluedio,NA,NA,NA,NA
2093," Audifonos I7s Tws Bluetooth Para Smartphone, Tablets, iPhone ",69,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERUSTEC,https://articulo.mercadolibre.com.pe/MPE-433311934-audifonos-i7s-tws-bluetooth-para-smartphone-tablets-iphone-_JM#position=30&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#433311934,NA,NA,NA,NA,NA
2094, Auriculares Bluetooth Inalámbricos Robotek Nova ? Plegabl ,324,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437077625-auriculares-bluetooth-inalambricos-robotek-nova-plegabl-_JM#position=31&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437077625,NA,NA,NA,NA,NA
2095, Pioneer Audifonos Bluetooth Deportivos Con Clipwear Active ,139,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436518993-pioneer-audifonos-bluetooth-deportivos-con-clipwear-active-_JM#position=32&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#436518993,NA,NA,NA,NA,NA
2096, Audífono Bluetooth Motorola Verve Loop 100% Original Sport ,149,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/REDMOVILPERU,https://articulo.mercadolibre.com.pe/MPE-434112355-audifono-bluetooth-motorola-verve-loop-100-original-sport-_JM#position=33&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,2,0,0,0,0,#434112355,Motorola,NA,VerveLoop,In-ear,SH011
2097, Ausdom - Auriculares Inalámbricos Bluetooth Con Función D ,226,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437077666-ausdom-auriculares-inalambricos-bluetooth-con-funcion-d-_JM#position=34&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437077666,NA,NA,NA,NA,NA
2098, U8 Audífonos Bluetooth 8 Horas De Bateria Sonido Stereo ,40,NA,11,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MARCIALZANABRIARIVERA,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=JfRiysB8quCSP47XGRG6MRUPKxW5vfhizCL5g6RImuTC5cEtxoRoUS7KwySWIP75%2FXJjeiu7X1%2F%2FJBiIzUgwRXAU1vekPBYgkBh6M%2FJd8JOVjF8JzzcF9d8jiong%2F3TIP6zKg8XP0w0UKv%2Bdwe1xkLxU83U6eNvFBg8Ok2z6vkHpY%2FMbwu0cTUKAVZlj2NPYu2DSnpoojx%2FeNBZUon%2B04C6Vuk5Qgd7unGkh5aWC1pmpB5BaxlgH81R1TXpf3eIBQMCgCs0AckdocNXUgqtbx5KiH3cHC7HipBqXe92KHrcOdlUZOrpZRck9G1WBF3MwK6ch0TrrjTVI6FN9Po2%2F1qyVKqRrxmsTfx0NS9riD3tzr8jzYr8wJPH8Ns1iXRjvt8CNDn%2Fhj2IBB5XJWKwBnBp1PgdS0XlkIOyLq64lBhzMNBuCvpuVxCYka8j%2FGOOQo5a0xYAxrc0bcrgWRb9x0fONzoUWT259y6t50PKRIVb8A02HYAzQwXnZa%2BI1t36Lyj7e4OzS%2FKyYhrxLZ38CGWQb3ME68p8N7fufFDVqoOzUZdfFz4f2FtLBDK3RHJQaIGrgRCfsvneMpfVSvL23aY5gJIwwzF2eg8oH5AfEm0CZem%2B%2Fs7GPQSbSKi1ZkHB%2FYw9hI%2BkW8Rr6cf%2B7qt59hXKNOdxjbsOg2JQAWFVYu9QrpyRuwFcZlL%2FaPTJEOnMBr6p1zt%2F3bBH4jsWjB%2BCxTuPmqmk5wIPTK3cIKNXY%2FPhamqAHvDWw4U3N05aGmiQtiYATanbdCYbZZWMZtvR4Z3xy%2B2PA6GQjw%2BKycn%2FdsnxjQ6YxUy4mY4b591sFDJVhdau2BU7cva0ZRYdBK%2BPursrYU77JHdYmYHfDzbpkTtJcXsX8tuJzhiX%2FbsLlyC40d3PnEDmsgSH%2F0EeU5kfp8%2FVZD%2FjKFnb1kDxxn97TMwtbWzQGJIcs1f7sqJbkanitYqIGjiDYxqynuyW7tWJ1d9iulm6wOK7Kfs73WK0pN8vlqKtWeqGVyPIv4Lygw2CcuWjDnZtfvsapHbohjlYAcLMUXZfv5UB800fQGpfJzfKLG1I7oizrQ6l9xa4pFC80gR7GDLqhn5aooWkISf5zVcOPs8ibVuLZqtMqQ7LYTLx%2BLngKSydMwhgShfSLyTgYmbZfoxoF3FwhUMn5mhfwK11O%2FyldpHGzb8vNiAgXSIcLtsLT3IAvWEG3uwRqg4tVSTyn9p4R8V1vsTgR82vEei21TqaXYuNVjoMDu7EMbBxajSSB%2BO%2BFKcfJitbFRvlM1zg0z60ucF4m0Ix1B1WeXYWGGeRDdc3QOc1Kv3yfr%2BgaF%2FtwT6kD7WVkkeaXcBG43rSrWfxd7u959bOWGGmvr%2FBDbPzYc%2FpShKm7Tx0yI2iVnsb4FN8AjC%2Fp02AH9jYvsw696jYpNw4DBaSa7jLvtEaOi57pERKHtnhjMbTRpkSMCI3UeuYl7Kqjt%2Fx3TCeCPPEmLpSjWvOw%2Bl8YXixzfkhoiaQOy8%2BHZCsBkCS76JNlIk1EjZydWZV1ZxTOF4WHxvtdIh9%2BvGcQg%2F61Qo0hKjUIBUT4f3sOND6ZJHO3r8qJY6dH2q%2BFg%2BH7paPAP4lEcPXiKjhug35PhH7et7f15iVNyXeQLxkhLPSXP0Br%2Bz5syN2Of7UzJQu2d1CsdUEgjPp0IWHPb8uCJPK%2BBqp5lT6qQbZ0vNeJAgmLMBjtNiBqXmIBRmjZd3RlugM%2FmSbIMSaP6uT0YtrqDQFB6nywxMfQ2puOyCk%3D,NA,NA,NA,NA,NA,#434431093,NA,NA,NA,NA,NA
2099, Audífonos Pionner Tipo Iconx ,355,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DENNYAMALDONADO,https://articulo.mercadolibre.com.pe/MPE-437100882-audifonos-pionner-tipo-iconx-_JM#position=36&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437100882,NA,NA,NA,NA,NA
2100," Auriculares Inalámbricos, Auriculares Bluetooth Impermeab ",272,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437077667-auriculares-inalambricos-auriculares-bluetooth-impermeab-_JM#position=37&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#437077667,NA,NA,NA,NA,NA
2101, Audifono AirPods I18 Tws Bluetooth Mejor Que Los I12 I11 I10 ,80,NA,0,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436930725-audifono-airpods-i18-tws-bluetooth-mejor-que-los-i12-i11-i10-_JM#position=38&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#436930725,NA,NA,NA,NA,NA
2102, Audifono Bluetooth Bluedio N76 Handsfree Compacto - Negro ,34,NA,0,900,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-418948366-audifono-bluetooth-bluedio-n76-handsfree-compacto-negro-_JM#position=39&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#418948366,Bluedio,NA,NA,NA,NA
2103, Audífonos Bluetooth Epik Klip Xtreme Khs-670bk Plegable ,99,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,https://articulo.mercadolibre.com.pe/MPE-434663435-audifonos-bluetooth-epik-klip-xtreme-khs-670bk-plegable-_JM#position=40&type=item&tracking_id=00e74b59-1a55-4bc0-95f0-dce8f5674ef7,NA,NA,NA,NA,NA,#434663435,NA,NA,NA,NA,NA
