search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Peso,Linha,Modelo alfanumérico,Voltagem,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Resposta máxima em frequência,Resposta mínima em frequência,Cor
1543, Caixa Multiuso Frahm Mf200 App 60w Rms ,742,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(9996 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6191
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MARCELOHENRIQUEPONTES,https://produto.mercadolivre.com.br/MLB-1174140397-caixa-residencial-lazer-comercio-bar-rancho-110220-selenium-_JM,NA,NA,NA,NA,NA,#1174140397,JBL Selenium,CAIXA BLUETOOTH,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1544, Caixa Residencial Lazer Comércio Bar Rancho 110/220 Selenium ,58,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-930989917-caixa-de-som-bluetooth-beats-fill-_JM,NA,NA,NA,NA,NA,#930989917,Beats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1545, Caixa De Som Bluetooth Beats Fill ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MOFE2930077,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=JxCHu7js10fkAtBec4rSVyal1QYKLUqBi4s594PDFPwyitTxr446YrI7cXYN4QVFbAqC9akYkH1RHcYZBYU7KrU4nVblT0TiJt4mzFUMt8440DstxyqFaLx9KU0lt1yhMIFg9POtQsq9xVXvpnnIOkuL7C2ZixM5iwkht4JgDrVfXojVAbhvfuQPRNeKfrtEpwHVwQTv0pH%2F%2FtBSTOfuZ4wSL6629sQN0u9rMPaT5jYXHmP828Z1mAENBzEOpHGuFsVtyC4VIAZ8sZkT1XpYwoZ1DnqumJR6KpHriLonuA2LxOMKN%2BgD62w93mh4mD8hmKO0J48wlk%2BszwoofT6lzAi6Pda4Fz0SYuxEJA%2B0ukXIxC%2BslZEeiweT8O8hNz0eoEe%2F1LhviX9EqpObmgyxQ9WLjJp5X0rwUMm6R0BjxlNmcwlBkL6VEp0n63rjE21N0g5qhNyydgQNjadqavYWb7bbLw8RZ7jEt2Ec%2BP4M8QTH0KCo12UDXNr%2BhDWvIrhMCWCQ7nk7qP33no3STm406AlDbI1TOFswVjRBtX%2FfAuruBNj98cJ%2BWVMG4m8UXBq2dTNG8S1SuH%2F4ls3%2BOtJZwJ3hzOAQ3gfZaGthQ7g15hRy39eMpC1Ww8cfzDq3TP2aGuiypdYEwZWoxl2z4WfojCibxCBDEL89HBS4GAIa9YJftu%2B8cUDcILYXZpycBXby7sty3fKFzXVvwSC7QJQqoiuyL1D6qy7GiQQmFwsNOd%2BXqttzgvdnBmzS47%2BJsaVsiT1uheSSi%2B08tlz3HT6kQtwT2gC1s%2BxjtxejUqwAfKW5dthbMBHXtKsotecyq%2BF5abaYSitOX9RkDvTX274X8c6xFA5KBc%2FgUgKt%2FkUyVTbHbVA5UC3QYb4glB4BkSHrVPySi0TIcwR4eSysRJyrZoQceakVzCNceEfg6n%2FphAQr%2BMuM4hvX9KnnJT2meoeBV5p4tNg5uaM3vDUQHXoMXd4cf2OMcn5C8XnOSQAGpxr6jLsit%2BhXyHmBNLwsONNhiO1hNHdhrLFWaK%2F9WhaPCLDeHjn3ZAN9LluwMoWQNhHW2Ub8i1pblaUW1Lc4HmgO0CHMZRHW871s0wMLQ6VeZbcKwS1f7NOn3MTe7bYZLlLejAg7XH35fvjSewP1atdu6CMvtcWH%2BwIseVEDwnjRfmo4%2FRcF3xtvN5sirWXnRrFZ2L%2BANEz4TFdfvHhiuzFMOXSm5tIG%2BeHJ8RWfCIE6nWoqS64etQU0%2B8XWWcWh%2B1MSd91rA9CZ4HIapQjTeP9QVNG4CxT9TUOtr45qf1BBFgOF6U0IARJ%2FAZKZQvm9SkPMsmK3kzuQVGqJZrXIG1hfhS9pYWyvPeas3R4E4vaWEtANaMwuoyWKSQjrYNVrqp0oBuomIDwguxmzq%2BT4zV73HH0EiSC6qqNXbjRnWipNA%2BBa1k15tFlJxV%2BJ%2Fzx6S67b1MlSnTQj12Rs%2BZveqDLWr5vYBDqanNwbtaFCwye0PmxC2G34o7%2BbV6f9JlGr%2B7aTg3ju4sZ%2BUMN9F9x%2BP3in6KC44gD9t66tzRd1n2DUaizXnZLpQGlaWB07IgfXyvD7aXCGgSoL6niUo3sok1I4QTcFcF3k7Zl7yXar6utEOO%2F9k3N%2FwZUzgR4zyaPR1cUoPKYbUAEa3w1GBsHvDdsgdHNMtdsSh9EFtA3JiYTmv7P79qrGzuCp,NA,NA,NA,NA,NA,#1276212686,Exboom,CBA,NA,NA,NA,NA,redondo,NA,NA,197 g,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA
1546, Caixa De Som Multilaser Torre Disco Light 150w Rms Sp299 ,457,NA,"
			
			
				
				9
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4377
		
		 sem juros
		
	

	
		",77,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1221411950-caixa-de-som-multilaser-torre-disco-light-150w-rms-sp299-_JM,NA,NA,NA,NA,NA,#1221411950,Multilaser,SP299,150 W,NA,NA,De piso,NA,NA,NA,6.55 kg,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
1547, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,853,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(38 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7108
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/CASADEI_INSTRUMENTOS,https://produto.mercadolivre.com.br/MLB-697638644-cabecote-amplificador-multiuso-ll620-bt-bluetooth-usb-_JM,NA,NA,NA,NA,NA,#697638644,LL Audio,ll620 bt,200 W,NA,NA,NA,NA,NA,NA,12 kg,amplificador,ll620bt,NA,NA,NA,NA,NA,NA,NA,NA,NA
1548, Cabeçote Amplificador Multiuso Ll620 Bt/ Bluetooth/ Usb ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/T.K.S.,https://produto.mercadolivre.com.br/MLB-1179345816-caixa-de-som-bluetooth-fam-fba-a8-sensivel-ao-toque-prata-_JM,NA,NA,NA,NA,NA,#1179345816,FAM,FBT-A8,3 W,NA,NA,mesa,Caixa,NA,1,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA
1549, Caixa De Som Bluetooth Fam Fba-a8 Sensível Ao Toque Prata ,1181,NA,"
			
			
				
				2
				vendidos
			
		",(158 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9847
		
		 sem juros
		
	

	
		",47,NA,Envio para todo o país,NA,NA,4.9,12,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1204467408-caixa-som-harman-kardon-onyx-studio-5-50w-hkonyxstu5pto-_JM,11,1,0,0,0,#1204467408,Harman Kardon,Onyx Studio,38 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284 mm,128 mm,291 mm,NA,NA,Preto
1550, Caixa Som Harman Kardon Onyx Studio 5 50w Hkonyxstu5pto ,519,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4332
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2893,https://perfil.mercadolivre.com.br/JP9334230,https://produto.mercadolivre.com.br/MLB-1164664845-caiax-de-som-jbl-flip4-16wts-original-_JM,2626,188,38,11,30,#1164664845,JBL,Flip 4,16 W,Woofer,Ativo,Qualquer Lugar,Line array,1,NA,0.515 kg,Flip Series,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA
1551, Caiax De Som Jbl Flip4 16wts Original ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1416
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MERCADOFACILSHOP,https://produto.mercadolivre.com.br/MLB-1120325774-caixa-de-som-pulse-bluetooth-hands-free-sp247-em-ate-12x-sj-_JM,NA,NA,NA,NA,NA,#1120325774,Pulse,SP247,NA,NA,NA,NA,Caixa,NA,NA,0.87 kg,NA,NA,NA,Auxiliar,80 dB,27 cm,7.2 cm,14 cm,NA,NA,NA
1552, Caixa De Som Pulse Bluetooth Hands Free Sp247 -em Até 12x Sj ,599,NA,"
			
			
				
				3
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4992
		
		 sem juros
		
	

	
		",92,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJAS+MULTISOM?brandId=972,https://produto.mercadolivre.com.br/MLB-1172566049-caixa-de-som-panasonic-system-sc-cmax4-250w-bluetooth-usb-_JM,NA,NA,NA,NA,NA,#1172566049,Panasonic,NA,NA,NA,NA,NA,NA,NA,NA,7.2 kg,NA,NA,240V,NA,NA,NA,NA,NA,NA,NA,NA
1553, Caixa De Som Panasonic System Sc-cmax4 - 250w Bluetooth Usb ,23,24,"
			
				Novo
			
			
				
					 - 
				
				17
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 639
		
		 sem juros
		
	

	
		",39,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/I.GO+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1111987005-caixa-som-portatil-bluetooth-usb-sd-fm-aux-potente-recarrega-_JM,NA,NA,NA,NA,NA,#1111987005,Altomex,WS887,5 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,1,250 g,Portatil,WS887,Bivolt,USB,NA,6.5 cm,6.5 cm,7 cm,16000 Hz,280 Hz,NA
1554, Caixa Som Portátil Bluetooth Usb Sd Fm Aux Potente Recarrega ,139,NA,"
			
				Novo
			
			
				
					 - 
				
				44
				vendidos
			
		",(129 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1328
		
		 sem juros
		
	

	
		",28,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/KAFA6657245,https://produto.mercadolivre.com.br/MLB-1178892405-kit-8-caixinhas-de-som-ws-887-bluetooth-usb-pendrive-atacado-_JM,NA,NA,NA,NA,NA,#1178892405,kyk,Ws-887,3 W,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA
1555, Kit 8 Caixinhas De Som Ws 887 Bluetooth Usb Pendrive Atacado ,148,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1241
		
		 sem juros
		
	

	
		",41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/SUL_STORE,https://produto.mercadolivre.com.br/MLB-973717936-caixa-de-som-a-prova-dagua-bluetooth-mp3-feasso-fasom-bt101-_JM,3,0,0,0,0,#973717936,Feasso,FASOM-BT101,10 W,NA,Subwoofer,Portátil,Torre,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA
1556, Caixa De Som Á Prova D'água Bluetooth Mp3 Feasso Fasom-bt101 ,2097,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 20051
		
		 sem juros
		
	

	
		",51,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,530,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1014899818-caixa-bluetooth-jbl-boombox-original-nfe-loja-garantia-1-ano-_JM,417,44,19,21,29,#1014899818,JBL,Boombox,60 W,Ativo/Passivo,Caixa,NA,Caixa,NA,NA,5.25 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1557, Caixa Bluetooth Jbl Boombox Original Nfe Loja Garantia 1 Ano ,97,NA,"
			
				Novo
			
			
				
					 - 
				
				43
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 814
		
		 sem juros
		
	

	
		",14,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-918582904-kit-5-caixa-de-som-bluetooth-atacado-aprova-dagua-banheiro-_JM,NA,NA,NA,NA,NA,#918582904,Yes,Caixa De Som Banheiro,NA,NA,NA,NA,NA,NA,NA,NA,Portatil,NA,Bivolt,Auxiliar,80 dB,NA,NA,NA,NA,NA,NA
1558, Kit 5 Caixa De Som Bluetooth Atacado Aprova Dagua Banheiro ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1583
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,93,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1154537095-caixa-acustica-amplificada-bluetooth-25w-rms-usb-p2-violao-_JM,61,18,5,3,6,#1154537095,Briwax,FBX-105,65 W,NA,Passivo,NA,Caixa,NA,1,2400 g,NA,NA,NA,Auxiliar P2. Microfone. USB. Micro SD. Bluetooth. FM. P10,NA,15 cm,20 cm,30 cm,NA,NA,NA
1559, Caixa Acustica Amplificada Bluetooth 25w Rms Usb P2 Violao ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(994 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 617
		
		 sem juros
		
	

	
		",17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1205986154-caixa-de-som-bluetooth-portatil-8w-mp3-usb-radio-sd-caixinha-_JM,NA,NA,NA,NA,NA,#1205986154,Ltomex,A-22,8 W,Mini tweeter,"Ativo, USB, Card",NA,Caixa,2.1,NA,300 g,A22,A22,12W,USB,NA,NA,NA,NA,NA,NA,NA
1560, Caixa De Som Bluetooth Portatil 8w Mp3 Usb Radio Sd Caixinha ,1999,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			Último disponível!
		
	","
	
		
			
		
		12x 
		
			
				R$ 16667
		
		 sem juros
		
	

	
		",67,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/BESTWAYCOMERCIOELETRONICO,https://produto.mercadolivre.com.br/MLB-1173082749-caixa-de-som-portatil-jbl-partybox-200-com-usb-bluetooth-_JM,NA,NA,NA,NA,NA,#1173082749,JBL,Partybox 200,120 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1561, Caixa De Som Portatil Jbl Partybox 200 Com Usb Bluetooth ,73,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(991 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 707
		
		 sem juros
		
	

	
		",07,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TAENHTEETGALK,https://produto.mercadolivre.com.br/MLB-1261708177-caixa-de-som-portatil-bluetooth-display-led-usb-fm-sd-card-_JM,NA,NA,NA,NA,NA,#1261708177,X Zhang,XZ-001S,10 W,Caixa,Mini tweeter,todos,NA,NA,NA,800 g,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
1562, Caixa De Som Portátil Bluetooth Display Led Usb Fm Sd Card ,29,NA,"
			
				Novo
			
			
		",(100 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 600
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ZHANGZUOYIN,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=eT8Ky3o9MxaSdE%2B2oANjr60juP%2B3ZX0%2FY5RPMPT9Le5VAVmXMHF2csdB679I4HC8oDZ0q8iKt31dG8ryKVrGRiki4R3OswF3kf4JVS32Qc2uBZN2%2FuVqtHnypnqLvvmtLqGZP2MKkGnRsfId%2Fsk7hHfHeUnoOO8TtPVgNMwscUNiKhPAJ4klGPiWvoYPbFAKPWnXNkJxhtl37nMTliDpmzlSIPwhio1Msr3AQn4%2BJd2m3SFgYgvTM4z5%2FGX8hnXTjGZEfHbCfLKyClk6wslD%2Fxxz1nXxwnHfGRYFdeLZfOGjP985LWeoj%2Byxx6b2oK8BngAoy%2FejaJOt1FzKYPLpPe%2FcAK97Zyw%2BQDClIVWMJnin4c81m%2Bd8IYky%2Bu5JurhicaIyK3t1GtRZSIF3dPzXWDiBKWcXxSfMCZZf%2FabYrT5mTS%2FTdDQK%2F%2FJWY5JA%2BBO%2FHThL5BZtnJk3LwNclTI1VRYeZEnZdGNTcHu5q6jUlt43ntPdGllEqG17AvSauD%2BWCmQ10umxdKYC3AQRwhtAcgygmCtq8yoBTgmrcQmu8BDU4%2BGrpAgwCaci%2BMasmuJ%2BxgGP1r49VPADljvUGemDvMqAF0eMH2l0Tvc38cxIOwNdei3DXlKDPHjGYB5bfvt7OXK6647njY5QFnHHuoQvtG4h8sIAZWf%2BiKwxkqMCzNwVY7kzN%2FgcBEJXLA8ShQCdprHXRbGMXg53jJjfcMpipf5lYO6EqiBsZw5mQyA4zG9LEipvuWF9rXPUolEuLgB65G3cgko6Pdr%2FjtdnhmSdGnor2KWr%2BpIqJZWEjWJW%2FmHG8UsZqcl7bvJTe%2FUae49fMUbeWqy6gCdQ0uBU1QNgChsAa8hoFjmNPq1vRVU0JjwbJ%2F8K02TSgSeOvpkStpQAMYHk6kmkCUFflIYqaJ0uL9mMdokThHvIOH81blysqxlfBxzKkmR4zETD9R1rccJDJs3khuYxoj06KZIj96ZBo31RaKwVUFKxww91Ld30BrCS2I1f7JPO4VqsFlILvFduxI2unOyuEZz7WGI%2B%2FbpfNgn0Vj8amyQ0QkfwjcqLWkVqXohbveFQTtaSHRid0ugU%2FUOT58afCIu2HsR0Ufw%2Bwgqg4ShL95mmZWrO1pN%2B7MAeU%2FXn%2BRlF2u3DSoal8D1%2B15MYJRB1yJVuRJgjOUGBt2yX539hXFULGnFOlQ9bE8mDU%2BxRncjMLKgiM52uwdSfFhWlkTUPbw96FCvnIp%2BwmnSyLZHn8MsoovF3Fam4dx%2F9qz%2BImJSDQQM%2BpURkcpzWO31Pc3M%2B4kpxhfcceuWjvzDc8UAC3IGYFQivG88TU1VXQ2n4RNTaGQgg6cRKUCah4RlN%2BUfvxW%2FvWK6g78yCBzMmxBgrhjNL4K5GWZopV1fIZLsDvpDEjJYP4h8ityzTD8pIAvWF%2Bvga3zWL40U7fAkl%2Bf90mlksGaaANPPNm3YwKyqodMIxlv9MWiT82urENlJ0ANwdg1HdZZlTJnR628xaVHAEDoLpDgTSWzF%2BL84ucfEBtHbCJZvnuKerWaNTQTYGYLbVrgbY3Rzn1dW722uR1ePlJbYDk%2Bp6KHag1G%2FMe9yPhNz5bb%2B0sc4m0KpgkffXhKwca2IVEBZaZ9zhWyyKo8%2F5N%2FGOkPNesbHrNN3I10H5wCqsKEJF1wigOHv5NYjHrQ3OMX9vrqbbNGZaLqdeOf%2F7xWY%3D,NA,NA,NA,NA,NA,#1228386339,ljf,bs-06,3 W,NA,Tweeter,universal,Caixa,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563, Caixa De Som Bluetooth 500w Fm + Microfone S Fio Sp263 ,935,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(99996 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7792
		
		 sem juros
		
	

	
		",92,NA,Entrega a combinar com o vendedor,NA,NA,4.5,31,https://perfil.mercadolivre.com.br/BAZARBAY,https://produto.mercadolivre.com.br/MLB-1176648394-caixa-de-som-bluetooth-500w-fm-microfone-s-fio-sp263-_JM,20,7,2,2,0,#1176648394,Multilaser,SP263,500 W,NA,Ativo,NA,NA,NA,NA,3970 g,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
1564, Caixa De Som Jbl Go 2 Preta Portátil 3w Bluetooth Vitrine ** ,139,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1158
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1519,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1153445967-caixa-de-som-jbl-go-2-preta-portatil-3w-bluetooth-vitrine--_JM,1393,101,18,4,3,#1153445967,JBL,GO 2,3 W,NA,NA,NA,Caixa,NA,1,184 g,NA,NA,NA,NA,80 dB,NA,NA,NA,20 kHz,180 Hz,NA
1565, Kit 3 Conector Carga Original Caixa Som Jbl Flip 3 Micro Usb ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				24
				vendidos
			
		",(282 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 675
		
		 sem juros
		
	

	
		",75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/SULMASTER,https://produto.mercadolivre.com.br/MLB-1070969357-kit-3-conector-carga-original-caixa-som-jbl-flip-3-micro-usb-_JM,NA,NA,NA,NA,NA,#1070969357,JBL,Flip 3,16 W,NA,Passivo,NA,NA,NA,NA,NA,NA,NA,NA,USB,80 dB,NA,NA,NA,20 kHz,85 Hz,NA
1566, Caixa Som Portatil Jbl Flip 4 Bluetooth Original Mosaic ,519,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			Último disponível!
		
	","
	
		
			
		
		12x 
		
			
				R$ 4332
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2893,https://perfil.mercadolivre.com.br/ELETRO_DOM,https://produto.mercadolivre.com.br/MLB-1117832682-caixa-som-portatil-jbl-flip-4-bluetooth-original-mosaic-_JM,2626,188,38,11,30,#1117832682,JBL,Flip 4,16 W,NA,Ativo,NA,NA,NA,NA,0.524 kg,Flip Series,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA
1567, Caixa Hf-q3 Alto-falante Bluetooth Sem Fio Fm Multifuncional ,46,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(43 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 770
		
		 sem juros
		
	

	
		",70,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-932944473-caixa-hf-q3-alto-falante-bluetooth-sem-fio-fm-multifuncional-_JM,NA,NA,NA,NA,NA,#932944473,Yes,HF-Q3,5 W,NA,NA,NA,NA,NA,NA,NA,Primeira,NA,DC5V,USB,NA,NA,NA,NA,20 kHz,150 Hz,NA
1568, Caixa Som Be-13 Bluetooth Fm Usb Micro Sd Aux Atende Chamada ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				29
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 685
		
		 sem juros
		
	

	
		",85,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.0,3,https://perfil.mercadolivre.com.br/CR10+IMPORTS,https://produto.mercadolivre.com.br/MLB-720499968-caixa-som-be-13-bluetooth-fm-usb-micro-sd-aux-atende-chamada-_JM,1,0,1,0,1,#720499968,Wireless Speaker,BE-13,6 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auxiliar, USB, Micro sd",NA,NA,NA,NA,NA,NA,NA
1569, Caixa Som Portátil Amplificada Usb Mp3 Radio Fm Cart Potente ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				63
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 664
		
		 sem juros
		
	

	
		",64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,5,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-938701593-caixa-som-portatil-amplificada-usb-mp3-radio-fm-cart-potente-_JM,3,1,1,0,0,#938701593,Grasep,BH1064,6 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,1,465 g,Portatil,BH1064,DC5V,USB,NA,12 cm,9 cm,14 cm,22000 Hz,120 Hz,NA
1570, Caixa De Som Bluetooth Portátil Usb M Sd 15w Mp3 Rádio Fm ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 623
		
		 sem juros
		
	

	
		",23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REIDOSELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-1209818549-caixa-de-som-bluetooth-portatil-usb-m-sd-15w-mp3-radio-fm-_JM,NA,NA,NA,NA,NA,#1209818549,Briwax,MF-1602,15 W,NA,Subwoofer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
