search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
1359, Jbl Xtreme 2 Original 100% + Nf 1 Ano De Garantia ,1199,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9992
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1921,https://perfil.mercadolivre.com.br/STORE+2018,https://produto.mercadolivre.com.br/MLB-1163102318-jbl-xtreme-2-original-100-nf-1-ano-de-garantia-_JM,1241,335,177,67,101,#1163102318,JBL,Xtreme 2,40 W,Super tweeter,20 kHz,70 Hz,Caixa Portátil,NA,NA,Super tweeter,Portatil,Caixa,2.1,1,NA,80 dB,NA,NA,NA,2.393 kg,NA
1360, Caixa De Som Bluetooth Portátil Rádio Fm Usb Micro Sd 8w ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				18
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 665
		
		 sem juros
		
	

	
		",65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUCKSELETRONICOS,https://produto.mercadolivre.com.br/MLB-1081874357-caixa-de-som-bluetooth-portatil-radio-fm-usb-micro-sd-8w-_JM,NA,NA,NA,NA,NA,#1081874357,Grasep,D-BH1019,6 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,300 g,NA
1361, Caixa De Som Alto-falante Bluetooth Sd/p2 /fm - Tg113 ,52,NA,"
			
				Novo
			
			
				
					 - 
				
				16
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 529
		
		 sem juros
		
	

	
		",29,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LULI2114478,https://produto.mercadolivre.com.br/MLB-1226886276-caixa-de-som-alto-falante-bluetooth-sdp2-fm-tg113-_JM,NA,NA,NA,NA,NA,#1226886276,JBL,T&G113,5 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,512 g,NA
1362," Caixa De Som Com Bluetooth,pen Drive,cartão De M D-p7 ",47,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(17 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 783
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,53,https://perfil.mercadolivre.com.br/GGEELETRONICNET,https://produto.mercadolivre.com.br/MLB-1152203706-caixa-de-som-com-bluetoothpen-drivecarto-de-m-d-p7-_JM,36,6,3,2,6,#1152203706,Grasep,D-P7,10 W,DINAMICO,NA,NA,GRASEP,NA,NA,Dinamico,NA,Caixa,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA
1363, Caixa De Som Bluetooth Portátil Kimaster K331 1 Ano Garantia ,119,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1137
		
		 sem juros
		
	

	
		",37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/INFOELETROLON,https://produto.mercadolivre.com.br/MLB-1168149070-caixa-de-som-bluetooth-portatil-kimaster-k331-1-ano-garantia-_JM,NA,NA,NA,NA,NA,#1168149070,Kimaster,K331,10 W,Ativo,NA,NA,CAIXA DE SOM,NA,NA,Subwoofer,NA,Caixa,2.1,NA,USB,NA,NA,NA,NA,384 g,NA
1364, Caixa De Som Jbl Party Xpert 350w Preto ,2299,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 19167
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1266585288-caixa-de-som-jbl-party-xpert-350w-preto-_JM,NA,NA,NA,NA,NA,#1266585288,JBL,party expert,350 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1365, Caixa De Som Portátil Charge Mini Pen Drive ,38,NA,"
			
				Novo
			
			
				
					 - 
				
				11
				vendidos
			
		",(17 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 648
		
		 sem juros
		
	

	
		",48,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BIG-WORLD+STORE,https://produto.mercadolivre.com.br/MLB-1280978428-caixa-de-som-portatil-charge-mini-pen-drive-_JM,NA,NA,NA,NA,NA,#1280978428,Importado,Charge3 Mini,20 W,subwofer,NA,NA,NA,NA,NA,mini twiter,portatil,Torre,NA,NA,USB,NA,NA,NA,NA,400 g,NA
1366, Caixa Acústica Passiva 100 Watts Da8100 Datrel ,309,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2583
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MUNDODAMUSICARJ,https://produto.mercadolivre.com.br/MLB-972407505-caixa-acustica-passiva-100-watts-da8100-datrel-_JM,NA,NA,NA,NA,NA,#972407505,Datrel,DA-8.100,100 W,Passivo,20 kHz,20 Hz,NA,NA,NA,NA,NA,Caixa,NA,1,RCA,NA,29 cm,28 cm,40 cm,9 kg,NA
1367, Caixa Ativa 8 Master Voice Bluetooth Bateria + Microfone Mv8 ,209,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1742
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASAR%C3%83O+SOM3,https://produto.mercadolivre.com.br/MLB-1266367297-caixa-ativa-8-master-voice-bluetooth-bateria-microfone-mv8-_JM,NA,NA,NA,NA,NA,#1266367297,Master Voice,MV-08,NA,NA,NA,NA,NA,NA,NA,Não se aplica,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,2.7 kg,NA
1368, Caixa Som Portátil Bluetooth Mp3 Usb Fm Xtrad Ms-185bt ,79,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 764
		
		 sem juros
		
	

	
		",64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PAIZ%C3%83O+STORE,https://produto.mercadolivre.com.br/MLB-1177009338-caixa-som-portatil-bluetooth-mp3-usb-fm-xtrad-ms-185bt-_JM,NA,NA,NA,NA,NA,#1177009338,XTrad,MS-185BT,15 W,Woofer,NA,NA,NA,NA,NA,Woofer,Ambientes fechados e abertos,Cone Seco,1,NA,USB,80 dB,NA,NA,NA,300 g,NA
1369, Caixa De Som Portatil Taramps Bt12 Bt-12 Bluetooth E P2 ,219,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1832
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,242,https://perfil.mercadolivre.com.br/BLACK+ONECARROS,https://produto.mercadolivre.com.br/MLB-1261575072-caixa-de-som-portatil-taramps-bt12-bt-12-bluetooth-e-p2-_JM,219,20,2,0,1,#1261575072,Taramps,BT 12,16 W,Ativo,NA,NA,NA,BT12,NA,Caixa Portátil,Portátil,Caixa,2.1,2,Auxiliar,NA,NA,NA,NA,0.676 kg,NA
1370," Caixa De Som Jbl Go 2, Bluetooth, 3 Watts, Preta ",202,NA,"
			
			
				
				9
				vendidos
			
		",(294 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1940
		
		 sem juros
		
	

	
		",40,NA,Envio para todo o país,NA,NA,4.9,39,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1088179817-caixa-de-som-jbl-go-2-bluetooth-3-watts-preta-_JM,36,2,0,0,0,#1088179817,JBL,GO 2,3 W,Ativo,NA,NA,NA,NA,NA,NA,Portátil,Caixa,.,NA,NA,NA,7.12 cm,3.15 cm,8.6 cm,184 g,NA
1371, Kit 25 Atacado Caixinha De Som Ws 887 5w Bluetooth Pendrive ,424,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(908 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3540
		
		 sem juros
		
	

	
		",40,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1240293089-kit-25-atacado-caixinha-de-som-ws-887-5w-bluetooth-pendrive-_JM,NA,NA,NA,NA,NA,#1240293089,cck,Ws-887,5 W,NA,NA,NA,NA,NA,NA,Mini tweeter,NA,Caixa,5.1,NA,"Auxiliar, USB, Leitor SD, SD",NA,NA,NA,NA,NA,NA
1372, Caixa De Som Amplificada 25w Bluetooth Portátil Karaokê Fm ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1672
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,162,https://perfil.mercadolivre.com.br/FASTER+SELL.SHOP,https://produto.mercadolivre.com.br/MLB-1172538447-caixa-de-som-amplificada-25w-bluetooth-portatil-karaok-fm-_JM,112,26,14,6,4,#1172538447,Briwax,FBX-103,25 W,Woofer,NA,NA,Amplificada,NA,110/220V (Bivolt),Tweeter,Portátil,Torre,2.1,NA,USB,NA,NA,NA,NA,2.4 kg,NA
1373, Soundbar 120w Bluetooth Entrada Óptica Tomate Mts 2018 ,499,NA,"
			
			
				
				3
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4167
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/KGMICOMERCIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1269210090-soundbar-120w-bluetooth-entrada-optica-tomate-mts-2018-_JM,NA,NA,NA,NA,NA,#1269210090,Tomate,MTS 2018,120 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,8 cm,8 cm,98 cm,NA,NA
1374, Caixa De Som Amplificada Bateria Usb Mp3 Radio Fm D-bh2034 ,79,NA,"
			
				Novo
			
			
				
					 - 
				
				65
				vendidos
			
		",(909 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 667
		
		 sem juros
		
	

	
		",67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ACMN.VENDAS,https://produto.mercadolivre.com.br/MLB-975473303-caixa-de-som-amplificada-bateria-usb-mp3-radio-fm-d-bh2034-_JM,NA,NA,NA,NA,NA,#975473303,grazep,2034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,1.295 kg,NA
1375, Capa Case Nylon Para Jbl Xtreme Bolsa Resistente A Agua ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				58
				vendidos
			
		",(111 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1921,https://perfil.mercadolivre.com.br/ESRSHOPS,https://produto.mercadolivre.com.br/MLB-974751416-capa-case-nylon-para-jbl-xtreme-bolsa-resistente-a-agua-_JM,1241,335,177,67,101,#974751416,JBL,Xtreme,40 W,Passivo,20 kHz,70 Hz,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,NA,NA,NA,NA,NA
1376, Kit Som Ambiente Ampl Bluetooth Sa20 100w + 06cxs Jbl C521p ,2232,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 18600
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VSSOM+BTOS,https://produto.mercadolivre.com.br/MLB-1109126458-kit-som-ambiente-ampl-bluetooth-sa20-100w-06cxs-jbl-c521p-_JM,NA,NA,NA,NA,NA,#1109126458,JBL,NCA SA20/JBLC521P,100 W,NA,NA,NA,Ambientare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377, Caixa De Som Portátil Lenoxx Speaker Bluetooth Bt530 Bivolt ,224,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1874
		
		 sem juros
		
	

	
		",74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPLOKO_ML,https://produto.mercadolivre.com.br/MLB-982662216-caixa-de-som-portatil-lenoxx-speaker-bluetooth-bt530-bivolt-_JM,NA,NA,NA,NA,NA,#982662216,Lenoxx,BT530,30 W,NA,NA,NA,NA,NA,Bivolt,NA,NA,Caixa,NA,NA,Auxiliar,NA,12 cm,13.5 cm,25.2 cm,965 g,Preto
1378, Caixa De Som Bluetooth Jbl Clip 2 ,273,NA,"
			
				Novo
			
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 2279
		
		 sem juros
		
	

	
		",79,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,344,https://perfil.mercadolivre.com.br/MEMORY_TEC,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=NHi4%2BYdx%2FB4alv4%2FLFFtIkmmv%2BrE5qSdMsQrNz3kxW%2FQa8NRwHVGlFp3atP%2BrL91uNR7woSPErMlFsDR3iiDNlo6czpsQzSxaFUe3XzuNjNyrHjlAriZ7k6DapvH4nDo3YaQBtUrDL4vLs7uQE8ZoZGuKYfu87GnZ73HR282lK9dpR3rIEu9DNpGYwHOAMNR%2FfJcLcxNslQZ2j1GSxfDVvPdpLeOUh%2B4vfs0je95rC6S8U18R7BKCmkMUKskqPcfXRWDC%2Byblb5%2BakKKPEz6N3AxYakbh11CunM6xhNZq2H8g5Rxq0%2Fu05Zsgsi7OmjLm%2BVwWdXbYAGqrmjwcVSdKP9sTRu%2B1cHW3hkxJdc6pcPyYe%2Bx6IgDSpvD9tj0cwYMnaLcFh8JvfZVlYsoxpxj3UziVPTU4zkuL9R%2BAeKd9zi0gG3ZdH5jEiKGXBTHbPo1oTwKYpWwFOIlSDQ3Iz297uDHFKUXsGeOZtm%2F2TDHTyKl6G6IzLtvX5bQCNeprNgNqYHm96f3DdM3wsbFKUQctBkbvFfdi8DGbpo7NnZfb5GI2p8VVjY3R3TBx4ssvKd0RjZ0tduqbOGhcOZsqcXuNG86cziJ6w%2B42ghUKuoK8jFyrVMVryCZGKGb331kF9ZPDcPQqkJoyL9MKgD9MMbjYUMfYjpf5ihlcC3Uud29W2XIRVoju8u02WxNuYPX%2FIPBm1H1Ux%2F0oyZzNIBMQh9sCp%2FteTEKPzCfs%2BZRHbFeMrv%2BA9wuAKCREXizC1ru7kqJqSAN6bgkxO%2BWnbzbPTbjJCQI17N%2FGAv9MJp7bmbthGDLVZQ6gMfBGua2L3e0otdPIJ72p1gJyF4GUP5IzBXA9sdEvFBfJ9q6L0lx2vgNuTj8FIq3S8hjxtccV9hj3tCDEqKMlJ7ohuZ7FVOBpCB5bZ6MqKEVxD%2FFzg6WJAKb6ydxvo2F6JPxiKyXCYwvPd3bySuqL8ZerMAvHv14d7sdZYnuB65DpH%2Fg5fN9jqu%2FTOqR%2BbTA2yL%2FE9%2F8kiJcK90KuVJQbk94uObysqzEjTmgMvDfrBayfJQ%2Br1enlQ8h0j30l2xMfNxfvdVZaJ4xItqe5NcTNQKJ%2B%2FzBqDjSb9gLR0EtNO5R8Dn5IpmxKyKPSNwjXxnzri8VxZ6CYa5eO%2B%2BWepJEuCzl%2BMkC0Gn8DAIIsvGx68YkJD62f5Lbxf9mHn3yWbGPxXdhEm4dK%2BIDtXLOyW5y1Gve%2F7OQiHQ1vn7G0ZzNdvsKOfdJdtVlnSRpGfVdenXnmahGGWKxQGGH72uQHy89%2FSiZLMp3J5N6fTOx14SjhmdWtjknavCIJfamUWeJelWu%2BjQ56OcWcLxZ1pZDZjNWJ%2FxtfVD1jC4zDvlhbghJ5wtbmOxzABWMQtStLE6mw5TWbBg2YJQqlW5G8DaVxOVQv13oUZWborH1hmeKta1y1MoFAYcmj7guWt0Ge%2ByX8gH0t9IJLHn96aftNcDpNIoOUfRJEBopVUs3Yn3M8BIWLT97GtCgVo56yEqdq%2FLTWKGkfV9KyjZMX2QVTsM6njy8fdeppRuYrYA8KBDA6y9IgwlUnyaQYKwrQANaU9zYOsxSZsBdWiG1S4ptmRaf4Kcx6ps%2BQwocJe5%2FDcea3gD3qpcLCZj2zNtRDDPYoAp434t%2FX4uisiDwF5iXbUg62s%2FuM0NNuPRB4wQgVu9z9IrbTuTdK2MW7073dSX9zYWkru4CgukBndcMG9LtE1z1kYkj7%2F15KSX03JGBmGsD%2FY9KcEo%2FkLgNbE%2Fk60HL79pCK7Zx5amlLZAuMYBk%2FA4enm8nbJWrKcgvStF%2FiYwFgANY7fOt%2B86Z%2FVYCMOvjA0iGHhiGwm6jAvMhdfvSSA893kN7NTjMHRwk7tQWRTJJAG8Rnw%3D%3D,308,25,5,1,5,#918137696,JBL,Clip 2,3 W,Ativo,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,USB,80 dB,NA,NA,NA,184 g,NA
1379, Caixa Som Bluetooth 30w Portátil Rodinhas Fm Usb Mic 8102 ,369,NA,"
			
			
				
				20
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 3083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ORIONOFICIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1081857192-caixa-som-bluetooth-30w-portatil-rodinhas-fm-usb-mic-8102-_JM,NA,NA,NA,NA,NA,#1081857192,Grasep,DBH8102,30 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA
1380, Caixa Amplificada Som 2500w Grave 12pol Bluetooth Led Fm Usb ,539,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(495 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,84,https://perfil.mercadolivre.com.br/BARATAOPONTOCOM,https://produto.mercadolivre.com.br/MLB-1149164354-caixa-amplificada-som-2500w-grave-12pol-bluetooth-led-fm-usb-_JM,61,17,3,2,1,#1149164354,Multilaser,SP219,150 W,Ativo,NA,NA,CAIXA AMPLIFICADA,NA,(Bivolt),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5 kg,NA
1381, Caixa Som Extreme Mini 2019 Primeira Linha ,119,NA,"
			
				Novo
			
			
				
					 - 
				
				22
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 999
		
		 sem juros
		
	

	
		",99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,2,https://perfil.mercadolivre.com.br/ATACAD%C3%83O2RODAS,https://produto.mercadolivre.com.br/MLB-996422789-caixa-som-extreme-mini-2019-primeira-linha-_JM,NA,NA,NA,NA,NA,#996422789,JBL,EXTRME MINI,NA,Passivo,NA,NA,NA,NA,NA,emborrachado,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,800 g,NA
1382, Caixa De Som Amplificado Bluetooth Mic Guitarra Violão 1000w ,499,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4779
		
		 sem juros
		
	

	
		",79,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/JSXELETRONICOS,https://produto.mercadolivre.com.br/MLB-872980702-caixa-de-som-amplificado-bluetooth-mic-guitarra-violo-1000w-_JM,NA,NA,NA,NA,NA,#872980702,SongMu,D8,1000 W,Ativo/Passivo,NA,NA,Portatil,NA,NA,Tweeter,De piso,Caixa,5.1,NA,USB,NA,NA,NA,NA,NA,NA
1383, Bazooquinha Pulse 3 + Bluetooth Caixa De Som Usb Sd Mp3 Fm ,67,NA,"
			
				Novo
			
			
				
					 - 
				
				49
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 645
		
		 sem juros
		
	

	
		",45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/IMPRESS+IMPORT,https://produto.mercadolivre.com.br/MLB-1018161166-bazooquinha-pulse-3-bluetooth-caixa-de-som-usb-sd-mp3-fm-_JM,NA,NA,NA,NA,NA,#1018161166,Importado,Pulse 3,20 W,NA,NA,NA,NA,NA,NA,NA,A escolha,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
1384, Caixa De Som Multilaser Bluetooth Music Box Cabo P2 / Nfc ,250,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2091
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=yj24A%2BHnKmpUDLRn6R8K64l3Y3EXo6ezStFFehwNf6TbZZw1rH2AFmI4%2BFX2Hw7iSrGUZ6nZL7ubFeHWLMavDK4e5dVkOJutaWMDFf1SbTEqP5yWqp0B9sNmwwdluutUOwzEmsQyHCyXY7Og8zN%2BFycsk9NEIkfvMax1PJDS3J1ngKq03ynA8mEww59LhC8yYqiTrht5LjXs3zpz7vphorS3xFzeP8U%2B98haRpmw9GErtUlO7kpgnYpEF%2Bjhr4D6XCHin1v4DkrzUjP5oXesGdfXH0rvYXRjH4ANiwaoW%2BlDNDp7cQVCQexgGnfukPu5s%2F4ggZhzvMYF446ar2D34005Xm%2FBQ3%2BdIaCscRpc71LLbbFIeG8bIb2LvreWNz09X0RFcJnkBbI7EQjiEKiOawbQayhjYyVEv%2BUF0N7wn9fvk19NRjMcrh56kXiN9qJRwpVPU18ZVur82ON2zWW%2FXiYqusbQYKyQcqouQcutUV2nohuWk7R7mls%2BZwi8Aee6NED0oUx7Hc7KM15CXMB3isJ8%2B%2FoDleL11Vp3Kz%2Bs4JtUGnR4FLWic7nmjjB%2Bi5CFvvM%2BuCNtZmKVUJ417qkDrBQyvJI5Qhtuq9oI0hXVc7PazL5RoRJPPHUq5nOta1U%2BZ6yLsklitbueRSMpvIQ7FPph40RVIbgYCS1zbb%2FnIMsVfLk8C55o%2F%2FmtHveHgqh25njW3NiTTCjQ52uwvuPrZWiV3MpEDvKKYF2YlPCx9m3jWi8VlHUTDAxBjtCjxQnuneCfIST95HjkRQn1SCs1AyvbwTKH5e7xgHCsJ1qWe%2BO9%2BKvAZd%2B8bRbZVPGy5KAQ7%2FQKfKylfQMx8xdSk4M7HRlY3%2FYSt8E64GYdJd37Av%2BzP1%2BnEa8JNj4NEdX83QC%2BvOOZO9nZhdOThj83CFuV%2B%2FJbcHit9lAbyo%2F8gaMVNmh0kiYZIYBP4D14MUXK8m7z6YtDVhnI46GMfWz8m6OY6eQfh0U2c87mVPsoPOXKerfT2mb%2FvXOq%2FV1J0L9PdTtoX3R9F%2FrYQYPU7jULOq0D9%2B3U8YBZfysWYGS%2Fu1iM%2F68vg3DtioxkVjiCLK2PX6xvjiyHXV7tPKdFE2JX1snetAx3cOCaxq%2B6xA1gkPk%2BeAB6D97uWG3WOg3KFgOzwyh8eL%2FhHwSHS56XGUGD5silrS8%2BRPKAjTgV2zNPUYhAjfKLDhu6td%2F01DlUvIGrNQJUx6u5JOY7MSI9Wy9RkXxcZ%2FqjzycJZTr6ubZqHquw7dAgAIBeikU5Z1Y%2FH5mKm8XalZ0j1n9jG2GmdCGuiEI65K4MIdSYo8xglGDrMnIuXqeQ9T6tjyYBbm4w1ZK4vi%2FqZTXhtQmPBD4RTMHFyYDhHZiDonAVcuDO4%2BPDVj7jFi1HZzoacJxs0TEQwwlspH7wsTzVyHE4G%2BIYZCr8T3qJmTkePuDQ%2FYTokA3T1RdPeNNGEft2lk05V6QYDMmXDU8MjomyUTKkoDjhrXJn9bT8lvh5HmCwzJHYJc%2BWQ45kp0YEvyCUw4sRKT4D0UlejkS6%2BlzUT1UfXowtdMKWTL1t1mmlvJThAS7dQm0dzi%2BVl6bwhaFW7earGv5oLdOpNJg8RPZfGm4qKfTbRTcP7MoUoIkfglqtBsdY%2FjdS9d9HkscX8TyfQJh0Z0shKvtG3uC1LS2H6K4T0NkPpYAvK4APFxcMnUjqitgoiO1cEdFrafJd807nci2wnDjd2Y31uIFO%2Br4unaHxd2ZQwOqZlNLEjaP1zeZAjy20wR1m2uWa4qfFe%2FMXLHQT7ZHnjqNQLdu27VgyJvc%2F48VglXczf62vyX9GzxmgJm5NYqQVgbingCdi0hwCtU%2BDJZZQi0XwmzSNqMrE1SR%2Bx3Eo0ae%2F8tfy0j5w1QjvZ3UKIgV7nW4mrKpnGCFDOjO1rn9hxcE%3D,NA,NA,NA,NA,NA,#1069067998,Multilaser,SP192,15 W,Ativo/Passivo,20000 Hz,20 Hz,Portatil,SP192,Bivolt,Woofer,Mesa,Caixa,2.1,1,USB,NA,16 cm,10 cm,21 cm,680 g,Preto
1385, Caixa De Som Jbl Boombox Nacional 1 Ano De Garantia Com Nf ,1899,NA,"
			
			
				
				7
				vendidos
			
		",(218 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,542,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1001462616-caixa-de-som-jbl-boombox-nacional-1-ano-de-garantia-com-nf-_JM,426,45,22,20,29,#1001462616,JBL,Boombox,60 W,Ativo,20 kHz,20 Hz,NA,NA,Bivolt,NA,NA,Caixa,NA,NA, ,80 dB,NA,NA,NA,5.25 kg,NA
