search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color,Tipos de parlante,Potencia de salida (RMS)
1621, Macetero Musical Con Bluetooh Con Luz 4 En 1 Parlante Color ,39,NA,"
			
				Nuevo
			
			
		",(30 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LATINO.PE,https://articulo.mercadolibre.com.pe/MPE-431542915-macetero-musical-con-bluetooh-con-luz-4-en-1-parlante-color-_JM,NA,NA,NA,NA,NA,#431542915,NA,NA,NA,400 g,NA,Caliente,NA,NA
1622, Parlantes Bluetooth/ Aero Bull Dog ,85,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NOWTECH+PERU,https://articulo.mercadolibre.com.pe/MPE-434599312-parlantes-bluetooth-aero-bull-dog-_JM,NA,NA,NA,NA,NA,#434599312,NA,NA,NA,NA,NA,NA,NA,NA
1623, Parlante Bluetooth Acuático C6 Micrófono ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(961 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,https://articulo.mercadolibre.com.pe/MPE-431309038-parlante-bluetooth-acuatico-c6-microfono-_JM,NA,NA,NA,NA,NA,#431309038,NA,NA,NA,152 g,NA,NA,NA,NA
1624, Parlante Portátil Jbl. Link 10 Bluetooth ,349,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,https://articulo.mercadolibre.com.pe/MPE-434871579-parlante-portatil-jbl-link-10-bluetooth-_JM,NA,NA,NA,NA,NA,#434871579,JBL,Link 10,Activo,NA,NA,NA,NA,16 W
1625, Parlante Speaker Bluetooth Backpack Camping Mp3 Recargable ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435056831-parlante-speaker-bluetooth-backpack-camping-mp3-recargable-_JM,NA,NA,NA,NA,NA,#435056831,NA,NA,NA,909 g,NA,NA,NA,NA
1626, Barra De Sonido Samsung Soundbar Hw-ms650 Bluetooth 450w ,679,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIROXELECTRONIC,https://articulo.mercadolibre.com.pe/MPE-436128386-barra-de-sonido-samsung-soundbar-hw-ms650-bluetooth-450w-_JM,NA,NA,NA,NA,NA,#436128386,Samsung,NA,NA,NA,NA,Negro,NA,NA
1627, Parlante Cafini Bluetooth Radio Usb/sd ,25,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-434025220-parlante-cafini-bluetooth-radio-usbsd-_JM,NA,NA,NA,NA,NA,#434025220,NA,NA,NA,NA,NA,NA,NA,NA
1628, Parlante Solar Super Potente !!! ,140,NA,"
			
				Nuevo
			
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436709619-parlante-solar-super-potente--_JM,NA,NA,NA,NA,NA,#436709619,NA,NA,NA,NA,NA,NA,NA,NA
1629, Parlante Logitech G560 Gaming 2.1 Rgb 120w ,759,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERPROCTI+SAC,https://articulo.mercadolibre.com.pe/MPE-436419856-parlante-logitech-g560-gaming-21-rgb-120w-_JM,NA,NA,NA,NA,NA,#436419856,Logitech,NA,NA,NA,NA,NA,NA,120 W
1630, Sistema De Parlante Bluetooth Klip Xtreme Kws-615 Bluwave ,199,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-421807391-sistema-de-parlante-bluetooth-klip-xtreme-kws-615-bluwave-_JM,NA,NA,NA,NA,NA,#421807391,NA,NA,NA,NA,NA,NA,NA,NA
1631, Parlante Bluetooh 2.1 Optimism 70w Usb Sd Fm Control Led Isc ,144,NA,"
			
				Nuevo
			
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,https://articulo.mercadolibre.com.pe/MPE-432172898-parlante-bluetooh-21-optimism-70w-usb-sd-fm-control-led-isc-_JM,NA,NA,NA,NA,NA,#432172898,Micronics,ISC,NA,NA,NA,Verde lima,NA,70 W
1632, Parlante Bluetooth Potente Original Philips ,69,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436636530-parlante-bluetooth-potente-original-philips-_JM,NA,NA,NA,NA,NA,#436636530,Philips,BT50,NA,NA,NA,Negro,NA,NA
1633, Parlante Halion Bazooka 250 Rms-s/319 Efektivo-s/335 Md0pag0 ,335,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZOLDANFX,https://articulo.mercadolibre.com.pe/MPE-436724098-parlante-halion-bazooka-250-rms-s319-efektivo-s335-md0pag0-_JM,NA,NA,NA,NA,NA,#436724098,NA,NA,NA,NA,NA,NA,NA,NA
1634, Parlantes Lg Pk5 Bluetooth 20w ,479,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DALTHRON+S.A.C.,https://articulo.mercadolibre.com.pe/MPE-433443974-parlantes-lg-pk5-bluetooth-20w-_JM,NA,NA,NA,NA,NA,#433443974,LG,NA,NA,NA,Auxiliar,NA,NA,20 W
1635, Parlante Acuatico Bluetooth Manos Libres Microfono Colores ,25,NA,"
			
				Nuevo
			
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CHRISTIANLUISARANAURIARTE,https://articulo.mercadolibre.com.pe/MPE-436790929-parlante-acuatico-bluetooth-manos-libres-microfono-colores-_JM,NA,NA,NA,NA,NA,#436790929,NA,BTS-06,NA,NA,NA,NA,NA,3 W
1636, Parlante Portátil Jbl Pulse 3 Bluetooth ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,https://articulo.mercadolibre.com.pe/MPE-432939934-parlante-portatil-jbl-pulse-3-bluetooth-_JM,NA,NA,NA,NA,NA,#432939934,JBL,Pulse 3,NA,NA,NA,NA,NA,NA
1637, Parlante Bluetooth Acuático Manos Libres Envios Lima Gratis ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(960 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,https://articulo.mercadolibre.com.pe/MPE-420065204-parlante-bluetooth-acuatico-manos-libres-envios-lima-gratis-_JM,NA,NA,NA,NA,NA,#420065204,NA,NA,NA,NA,NA,NA,NA,3 W
1638, Foco Parlante Bluetooth Luz Led Android A Delivery ,40,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(973 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/IMPORTACIONES+MARTINSS,https://articulo.mercadolibre.com.pe/MPE-426421340-foco-parlante-bluetooth-luz-led-android-a-delivery-_JM,NA,NA,NA,NA,NA,#426421340,NA,NA,NA,NA,NA,NA,NA,NA
1639, Parlante Ambiental. Bluetooh 120 Watts ,320,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INHOUSESHOP+PERU,https://articulo.mercadolibre.com.pe/MPE-431292955-parlante-ambiental-bluetooh-120-watts-_JM,NA,NA,NA,NA,NA,#431292955,NA,NA,NA,NA,NA,NA,NA,NA
1640, Parlante Audioritmico Luces Magic Ball Lince ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MARKETLINCE,https://articulo.mercadolibre.com.pe/MPE-425165985-parlante-audioritmico-luces-magic-ball-lince-_JM,NA,NA,NA,NA,NA,#425165985,GN,ISC,NA,NA,NA,NA,NA,NA
1641, Parlante Bluetooth Samsung Level Box Mini Premium Negro ,239,NA,"
			
				Nuevo
			
			
		",(900 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-434356916-parlante-bluetooth-samsung-level-box-mini-premium-negro-_JM,NA,NA,NA,NA,NA,#434356916,Samsung,NA,NA,NA,NA,NA,NA,8 W
1642," Equipo De Sonido Halion 300w, Bt, Woofer 12' ,karaoke, Nuevo ",392,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MECSOFT-EIRL,https://articulo.mercadolibre.com.pe/MPE-431830193-equipo-de-sonido-halion-300w-bt-woofer-12-karaoke-nuevo-_JM,NA,NA,NA,NA,NA,#431830193,NA,NA,NA,17 kg,NA,NA,Subwoofer,300 W
1643, Parlante Inalambrico Portatil Logitech Z07 Bluetooth Negro ,150,NA,NA,(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LOGINSTORELOGINSTORE?brandId=21,https://articulo.mercadolibre.com.pe/MPE-435432233-parlante-inalambrico-portatil-logitech-z07-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#435432233,LoginStore,NA,NA,NA,Auxiliar,Negro,NA,NA
1644," Ihome Ibtw38 Reloj Despertador Bluetooth, Altavoz,puerto Usb ",623,779,NA,(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PUNTOSOUTLET?brandId=168,https://articulo.mercadolibre.com.pe/MPE-436247789-ihome-ibtw38-reloj-despertador-bluetooth-altavozpuerto-usb-_JM,NA,NA,NA,NA,NA,#436247789,NA,NA,NA,NA,NA,NA,NA,NA
1645, Parlante Bluetooth Led Usb Radio Fm Sd Potente Campamento Rg ,77,NA,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(960 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REGALITOSPERU,https://articulo.mercadolibre.com.pe/MPE-429319064-parlante-bluetooth-led-usb-radio-fm-sd-potente-campamento-rg-_JM,NA,NA,NA,NA,NA,#429319064,NA,NA,NA,NA,NA,NA,NA,NA
1646, Bose Altavoz De Casa 500 Negro Home Speaker 500 Black ,2099,NA,NA,(46 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-435876938-bose-altavoz-de-casa-500-negro-home-speaker-500-black-_JM,NA,NA,NA,NA,NA,#435876938,Bose,Speaker 500,Activo,NA,NA,NA,NA,NA
1647, Google Home Mini Charcoal Smart Assistant No Chromecast ,134,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOTA.STORE,https://articulo.mercadolibre.com.pe/MPE-436828994-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,NA,NA,NA,NA,NA,#436828994,Google,Home Mini,NA,NA,NA,NA,NA,NA
1648, Tronsmart Element Force 40 Watts Ipx7 Bluetooth 5.0 Y Nfc ,260,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COJO469538,https://articulo.mercadolibre.com.pe/MPE-436539375-tronsmart-element-force-40-watts-ipx7-bluetooth-50-y-nfc-_JM,NA,NA,NA,NA,NA,#436539375,Tronsmast,Force,NA,NA,NA,NA,NA,40 W
1649, Parlante Micronics 2.1 Lotus Mic S6026bt 70w Rms Bluetooth ,135,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KOBYINVERSIONESSAC,https://articulo.mercadolibre.com.pe/MPE-436782929-parlante-micronics-21-lotus-mic-s6026bt-70w-rms-bluetooth-_JM,NA,NA,NA,NA,NA,#436782929,Micronics,Lotus - MIC S6026BT,NA,NA,NA,NA,2.1,70 W
1650," Radio Fm Y Am Bluetooth Recargable Corriente ,pila Entra Usb ",68,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PRODUCTOSRS,https://articulo.mercadolibre.com.pe/MPE-428666478-radio-fm-y-am-bluetooth-recargable-corriente-pila-entra-usb-_JM,NA,NA,NA,NA,NA,#428666478,NA,NA,NA,NA,USB,NA,NA,NA
1651, Bose Altavoz Inalambrico Soundwear Companion Bluetooth ,1399,NA,NA,(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071363-bose-altavoz-inalambrico-soundwear-companion-bluetooth-_JM,NA,NA,NA,NA,NA,#434071363,Bose,SoundWear,NA,266 g,NA,NA,Altavoz Inalámbrico,NA
1652, Altavoz Bluetooth Jbl Go 2 Original Negro ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(48 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/CABEPERU,https://articulo.mercadolibre.com.pe/MPE-432446620-altavoz-bluetooth-jbl-go-2-original-negro-_JM,13,1,1,0,0,#432446620,JBL,GO 2,Activo,NA,NA,Negro,NA,3 W
1653, Equipo De Sonido Halion Woofer 8' Rms 200w Bluetooth Nuevo ,269,NA,"
			
				Nuevo
			
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MECSOFT-EIRL,https://articulo.mercadolibre.com.pe/MPE-434831876-equipo-de-sonido-halion-woofer-8-rms-200w-bluetooth-nuevo-_JM,NA,NA,NA,NA,NA,#434831876,NA,NA,NA,NA,NA,NA,Subwoofer,200 W
1654, Receptor Bluetooth Con Batería Para Parlantes/auto/etc ,23,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(57 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNOLIFEPE,https://articulo.mercadolibre.com.pe/MPE-423356601-receptor-bluetooth-con-bateria-para-parlantesautoetc-_JM,NA,NA,NA,NA,NA,#423356601,NA,NA,NA,NA,NA,NA,NA,NA
1655, Altavoz Con Bluetooth Bose Soundlink Iii Altavoz Bose No Cov ,1513,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/KECHVR.COM,https://articulo.mercadolibre.com.pe/MPE-436566307-altavoz-con-bluetooth-bose-soundlink-iii-altavoz-bose-no-cov-_JM,NA,NA,NA,NA,NA,#436566307,Bose,III,Pasivo,NA,"Auxiliar, USB",NA,NA,NA
1656, Equipo De Sonido Multimedia 2.1 Bluetooth De 200 Watts ,289,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-429697807-equipo-de-sonido-multimedia-21-bluetooth-de-200-watts-_JM,NA,NA,NA,NA,NA,#429697807,Cafini,NA,NA,NA,NA,Negro,NA,200 W
1657, Soundbar Samsung Hw-j250 Nuevo ,280,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PROCOVENTAS,https://articulo.mercadolibre.com.pe/MPE-432349951-soundbar-samsung-hw-j250-nuevo-_JM,NA,NA,NA,NA,NA,#432349951,Samsung,NA,NA,1.8 kg,NA,Negro,NA,NA
1658," Jbl Boost Tv / Barra De Sonido / No Sony, 30 Watts - Nuevo ",599,NA,"
			
				Nuevo
			
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RAGIMPORT,https://articulo.mercadolibre.com.pe/MPE-432627970-jbl-boost-tv-barra-de-sonido-no-sony-30-watts-nuevo-_JM,NA,NA,NA,NA,NA,#432627970,JBL,BOOST TV,NA,1.7 kg,USB,Negro,NA,30 W
1659," B&o Play Bang & Olufsen A2 Altavozbluetooth,no Bose,jbl,sony ",1200,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LEONSHOGUM,https://articulo.mercadolibre.com.pe/MPE-433000680-bo-play-bang-olufsen-a2-altavozbluetoothno-bosejblsony-_JM,NA,NA,NA,NA,NA,#433000680,Bang & Olufsen,NA,NA,2.4 lb,NA,NA,NA,NA
1660," Parlantes Genius Sp-906bt,3watts Rms, Altavoz Portatil Bluet ",66,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-432250474-parlantes-genius-sp-906bt3watts-rms-altavoz-portatil-bluet-_JM,NA,NA,NA,NA,NA,#432250474,NA,NA,NA,NA,NA,NA,NA,NA
1661, Bose Soundlink Iii ,899,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/SANCHEZ_ANTONIO,https://articulo.mercadolibre.com.pe/MPE-436684278-bose-soundlink-iii-_JM,NA,NA,NA,NA,NA,#436684278,Bose,III,Pasivo,NA,"Auxiliar, USB",NA,NA,NA
1662, Xiaomi Round Bluetooth Speaker 2 ,135,NA,NA,(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/QUETALCOMPRADELPERUEIRL?brandId=159,https://articulo.mercadolibre.com.pe/MPE-436972266-xiaomi-round-bluetooth-speaker-2-_JM,NA,NA,NA,NA,NA,#436972266,Xiaomi,Speaker 2,NA,NA,NA,NA,NA,5 W
1663," Bose S1 Pro, Mochila Oferta ",580,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOPORTEMULTIMEDIA,https://articulo.mercadolibre.com.pe/MPE-434269270-bose-s1-pro-mochila-oferta-_JM,NA,NA,NA,NA,NA,#434269270,Bose,S1 Pro,Activo,NA,NA,NA,NA,NA
1664, Ue Wonderboom Bluetooth Subzero Blue ,269,NA,NA,(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORA+MESAJILHNOSSAC?brandId=142,https://articulo.mercadolibre.com.pe/MPE-435024149-ue-wonderboom-bluetooth-subzero-blue-_JM,NA,NA,NA,NA,NA,#435024149,NA,NA,NA,425 g,NA,NA,NA,NA
1665, Parlante Activo A Bateria Mpa200bt Bluetooth ,1440,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GAMA7612789,https://articulo.mercadolibre.com.pe/MPE-433172243-parlante-activo-a-bateria-mpa200bt-bluetooth-_JM,NA,NA,NA,NA,NA,#433172243,NA,NA,NA,NA,NA,NA,NA,NA
1666," Peavey, Escort 5000, Sistema Pa De 8 Canales Mixer ",6219,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OPSHOPPER,https://articulo.mercadolibre.com.pe/MPE-434571623-peavey-escort-5000-sistema-pa-de-8-canales-mixer-_JM,NA,NA,NA,NA,NA,#434571623,Peavey,Escort 5000,8 canales,NA,RCA,NA,Woofer,5000 W
1667," Barra De Sonido Lg 320w, Bluetooth - Sellado ",679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CYBER+ELEVIL,https://articulo.mercadolibre.com.pe/MPE-425880686-barra-de-sonido-lg-320w-bluetooth-sellado-_JM,NA,NA,NA,NA,NA,#425880686,LG,NA,NA,NA,NA,NA,NA,320 W
1668, Barra De Sonido Prolink Soundbar Sb-2170 Watts Bluetooth ,150,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SENDS_VICTOR2010,https://articulo.mercadolibre.com.pe/MPE-436923183-barra-de-sonido-prolink-soundbar-sb-2170-watts-bluetooth-_JM,NA,NA,NA,NA,NA,#436923183,NA,NA,NA,NA,USB,Negro,NA,NA
1669," Sound Bar Lg 4.1 Canales De Audio,300w.bluetooth,wifi Nuevo ",749,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CYBER+ELEVIL,https://articulo.mercadolibre.com.pe/MPE-435016185-sound-bar-lg-41-canales-de-audio300wbluetoothwifi-nuevo-_JM,NA,NA,NA,NA,NA,#435016185,LG,NA,NA,NA,NA,NA,NA,300 W
1670, Jbl Flip 4 Altavoz Bluetooth Inalambrico Portatil Con Adapta ,569,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436462638-jbl-flip-4-altavoz-bluetooth-inalambrico-portatil-con-adapta-_JM,7,2,0,0,0,#436462638,JBL,FLIP 4 BLACK_USB-BT4LE,Activo,4 lb,NA,Black,NA,16 W
1671, Xiaomi Mi Parlante Bluetooth Rojo Dorado (mdz-26-db) ,194,NA,"
			
				Nuevo
			
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESTUYO.PE,https://articulo.mercadolibre.com.pe/MPE-435509658-xiaomi-mi-parlante-bluetooth-rojo-dorado-mdz-26-db-_JM,NA,NA,NA,NA,NA,#435509658,NA,NA,NA,NA,NA,NA,NA,NA
1672, Altavoz Bluetooth C/radio Fm Marca Yolo Mod. Ybts6518 ,99,NA,NA,(15 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PUNTOSOUTLET?brandId=74,https://articulo.mercadolibre.com.pe/MPE-432404233-altavoz-bluetooth-cradio-fm-marca-yolo-mod-ybts6518-_JM,NA,NA,NA,NA,NA,#432404233,NA,NA,NA,0.478 kg,USB,NA,NA,NA
1673, Jbl Charge 4 Altavoz Portatil Con Bluetooth Inalambrico Resi ,845,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436463035-jbl-charge-4-altavoz-portatil-con-bluetooth-inalambrico-resi-_JM,NA,NA,NA,NA,NA,#436463035,JBL,Charge 4,NA,1 lb,NA,Black,NA,NA
1674, Altavoz Bluetooth Tronsmart Blaze Con Luces ,199,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHBOSSPERU,https://articulo.mercadolibre.com.pe/MPE-434243064-altavoz-bluetooth-tronsmart-blaze-con-luces-_JM,NA,NA,NA,NA,NA,#434243064,NA,NA,NA,NA,NA,NA,NA,NA
1675, Bose Soundtouch 10 ,749,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SANCHEZ_ANTONIO,https://articulo.mercadolibre.com.pe/MPE-437223404-bose-soundtouch-10-_JM,NA,NA,NA,NA,NA,#437223404,Bose,10,Activo,NA,NA,NA,NA,NA
1676, Parlante Multimedia Micronics Jazz Mic S7013bt Bluetooth ,270,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTASONLINEFREDY.COM,https://articulo.mercadolibre.com.pe/MPE-436282530-parlante-multimedia-micronics-jazz-mic-s7013bt-bluetooth-_JM,NA,NA,NA,NA,NA,#436282530,NA,NA,NA,NA,NA,NA,Subwoofer,NA
1677, Altavoz Harman Kardon Onyx Studio 4 Inalámbrico Bluetooth ,880,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LEONSHOGUM,https://articulo.mercadolibre.com.pe/MPE-435448956-altavoz-harman-kardon-onyx-studio-4-inalambrico-bluetooth-_JM,NA,NA,NA,NA,NA,#435448956,Harman Kardon,Onyx Studio 4,NA,NA,Auxiliar,NA,NA,NA
